,name,bar_code,quantity,packaging,brand,labels,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,ingredients_origins,manufacturing,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,origin_detail,palm_ingredients,brand_owner,producer_info
1141,Boeuf Wagyu,2478603084426,,,,,,['France'],[],,,[],,?,129,540 kj(129 kcal),"4,5",2,"0,6","0,6",21,"2,11","0,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,Pasta salade,3242274700669,,,,"['Nutriscore', 'Nutriscore B']",,['France'],[],,,[],,?,183,766 kj(183 kcal),"9,1","1,8",16,"1,5","7,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Kuzu Beef Sausages,8711659062166,,,,,,['France'],[],,,[],,?,214,895 kj(214 kcal),"17,6","5,4","1,1","0,5","12,8","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,Tropicana Pomme mangue,3168930165705,,,,,,['France'],[],,,[],,?,45,188 kj(45 kcal),0,0,16,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,Milka sweet winter,83435546,,,,,,['France'],[],,,[],,?,530,2218 kj(530 kcal),29,18,60,59,"6,1","0,37","0,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,Le nostre mandorle sgusciate,8028618014396,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,Ginger Beer,8007885752897,,,,,,['France'],[],,,[],,?,41,172 kj(41 kcal),0,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Crispo Gianduiotti Busta GR. 140,8005085711188,,,,,,['France'],[],,,[],,?,528.9,2213 kj(528 kcal),"26,9","17,6",69,"50,8","2,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,Terrine de canard au magret de canard fumé - Nos petites conserves,3760257853466,,,['Nos petites conserves'],,,['France'],[],,,[],,?,?,,?,,?,,?,,,E,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,,,,,,,,,,,,,,,,,,,,,,,,,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,
1150,8012012110181,8012012110181,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,Blanquette de légumes rôtis & riz rouge bio - Seazon - 430g,3701456316536,430 g,,['Seazon'],,,['France'],[],,,[],,?,106,444 kj(106 kcal),4,2,15,1,3,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Row protein flapjack,5060756341005,,,,,,['France'],[],,,[],,?,342,1431 kj(342 kcal),"3,14","0,62","51,68","4,35","26,77","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Morbier,2286920002319,,,,,,['France'],[],,,[],,?,363,1519 kj(363 kcal),30,21,"1,3","0,5",22,"1,58","0,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,"Cameo Zafferano Red (safran), 3 x 0, 1G",8003000140310,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,Crément d’alsace,3273574370016,,,,,,['France'],[],,,[],,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,Frittata lentilles corail - Seazon,3701456316253,,,['Seazon'],,,['France'],[],,,[],,?,111,464 kj(111 kcal),7,1,4,1,6,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,Colorgel Alimentaire Rouge Cerise 20G,8019447219533,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Garbanzos cocidos,8427601000192,,,,,,['France'],[],,,[],,?,140,586 kj(140 kcal),1,"0,8","20,1","1,1","8,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Family milk chocolate,7622210977007,,,,,,['France'],[],,,[],,?,534,2234 kj(534 kcal),30,18,57,56,"7,2","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Alfajor,7804668280469,,,,,,['France'],[],,,[],,?,348,1456 kj(348 kcal),"10,4","3,8",58,33,"5,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Choco cup alimento a base di cacao addizzionato con ganoderma,00199,,,,,,['France'],[],,,[],,?,98,410 kj(98 kcal),"2,8","1,7","71,5","0,2","6,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,Nougat,3770010421511,,,,,,['France'],[],,,[],,?,392,1640 kj(392 kcal),11,"1,2",65,51,8,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Bio confettura extra di fragola albicocca ciliegia pesca,8008660711283,,,,,,['France'],[],,,[],,?,243,1017 kj(243 kcal),"0,5",0,59,57,"0,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,Lardons fumés,3291510000483,,"['Barquette', 'Film en plastique']",,,,['France'],[],,,[],,?,249,1042 kj(249 kcal),"19,7","6,8","0,73","0,73","17,2","2,78","1,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,Pane siciliano affettato,8057094024209,,,,,,['France'],[],,,[],,?,234,979 kj(234 kcal),14,"0,3",47,3,8,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,Biscotte toast,8690526057040,,,,,,['France'],[],,,[],,?,354.8148,1485 kj(354 kcal),"1,482","0,741","61,111","4,074","18,889",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Chips paysannes nature,3250393009211,,,,"['Nutriscore', 'Nutriscore C']",,['France'],[],,,[],,?,530,2218 kj(530 kcal),32,"2,5",52,"0,5","6,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,Signal Integral 8 Bain de Bouche Antibactérien Fraîcheur Naturelle aux Extraits de Citron & d'Aloe Vera Flacon - 500ml,8717644323083,500 ml,['Bouteille'],['Signal'],,,['France'],"['Aqua', 'Hydrogenated Starch Hydrolysate', 'PEG-40 Hydrogenated Castor Oil', 'Potassium citrate', 'Glycine', 'Sodium benzoate', 'Aroma', 'Citric acid', 'Zinc Sulfate', 'Sodium Saccharin', 'Sodium Fluoride', 'Citrus Limon ', 'Lemon', ' Juice', 'Propylene glycol', 'Aloe Barbadensis Leaf Extract', 'Limonene', 'CI 42051', 'CI 47005']","['E640i - Glycine', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E1520 - Propylène glycol', 'E104 - Jaune de quinoléine']",,[],4,?,?,,?,,?,,?,,,,Bain de Bouche Antibactérien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,Haribo Weinland 100G,4001686310045,,,,,,['France'],[],,,[],,?,343,1435 kj(343 kcal),"0,5","0,1",77,46,"6,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,Solo pane panlight mais e riso bio,8021581110034,,,,,,['France'],[],,,[],,?,353,1477 kj(353 kcal),"1,2","0,3","0,2","0,1",69,"1,07","0,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,3 croissants,3760154260411,,,,,,['France'],[],,,[],,?,386,1615 kj(386 kcal),22,16,43,11,"3,5","0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,Gâteau Moelleux farine de pois chiche et amande en poudre,0745178487610,,,,,,['France'],[],,,[],,?,369,1544 kj(369 kcal),"19,6","6,2","36,4","25,6","9,9","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,9080175688648,9080175688648,,,,"['Nutriscore', 'Nutriscore C']",,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Zinzula,8002235022965,,['Bottle'],,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,Baies de goji sechees,2609844039108,,,,,,['France'],[],,,[],,?,317,1326 kj(317 kcal),"2,7","0,3","53,9","53,1",13,"0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Blanc de poulet sans nitrite -25% de sel,3154230801054,,['Film en plastique'],,"['Nutriscore', 'Nutriscore B']",,['France'],[],,,[],,?,106,444 kj(106 kcal),2,"0,7","0,9","0,5",21,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Miel bio d'oranger - Besacier,3110770021864,,,['Besacier'],,,['France'],[],,,[],,?,?,,?,0,?,0,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'agrumes"", ""Miels d'oranger""]",,,,,,0 g,en faible quantité,0 g,en faible quantité,,,,,,,-100%,,-100%,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,
1178,Poulet,2245336030637,,,,,,['France'],[],,,[],,?,138,577 kj(138 kcal),"5,7","1,8","1,1",0,20,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,Fée des bois,3396745003497,,,,,,['France'],[],,,[],,?,174,728 kj(174 kcal),"0,5","0,1",41,40,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,9974971013325,9974971013325,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,Haidu,5998207904731,,,,,,['France'],[],,,[],,?,1383,5786 kj(1383 kcal),33,21,21,"2,5",7,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Blanc de dinde nature,3154230801177,,"['Barquette', 'Film en plastique']",,"['Nutriscore', 'Nutriscore A']",,['France'],[],,,[],,?,110,460 kj(110 kcal),2,"0,4","0,9","0,5",22,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Confiture artisanale Framboise,3500680009869,,,,,,['France'],[],,,[],,?,998,4176 kj(998 kcal),"0,5","0,1",55,55,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Sauté de canard,3193840056584,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,L’Idylle,,,,,,,['France'],[],,,[],,?,242,1013 kj(242 kcal),"0,5","0,1",56,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Grains de café enrobage chocolat et cacao en poudre,4260654781304,,,,,,['France'],[],,,[],,?,501,2096 kj(501 kcal),26,15,57,51,"7,7","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,"Torus, Vin De Madiran, Bouteille 75cl, Année 2009",3372220000151,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,Saucissz seche sachet,6224842034830,,,,,,['France'],[],,,[],,?,424,1774 kj(424 kcal),"36,1","13,71","1,2","1,2","23,7","5,29","2,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,Miel de lavande,31200059,,,,,,['France'],[],,,[],,?,?,,?,0,?,0,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,0 g,en faible quantité,0 g,en faible quantité,,,,,,,-100%,,-100%,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,
1190,Croquants protéinés chocolat et cannelle,4260654780949,,,,,,['France'],[],,,[],,?,472,1975 kj(472 kcal),30,14,36,1,24,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,Cecemel,5414150410827,,,,,,['France'],[],,,[],,?,294,1230 kj(294 kcal),"1,6","1,1","10,2",10,"3,2","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,Graines de.e lin brun,3760286311128,,,,,,['France'],[],,,[],,?,498,2084 kj(498 kcal),4,"3,7",1,1,"19,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Café indonesia organic,7630047675621,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,Crème fluide et légère 15%,3256228487339,,,,"['Nutriscore', 'Nutriscore D']",,['France'],[],,,[],,?,170,711 kj(170 kcal),15,11,"6,1","3,4","2,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,Miel,3770016106009,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,La conquête des saveurs CMD europe Gingembre confit,3390120016157,,,,,,['France'],[],,,[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Apero,8028257004178,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,"4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Gresset,3760240981022,,,,,,['France'],[],,,[],,?,19.8,83 kj(19 kcal),"0,32","0,072","0,81","0,81","2,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Beurre de Baratte - Bio gam - 250g,3382323511003,250g,['Frais'],['Bio gam'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],"['Crème épaisse pasteurisée*', ""ferments lactiques\r *Ingrédient issu de l'Agriculture Biologique""]",,['Lait'],[],2,3060,744,3060 kj(744 kcal),82,"54,4","0,7","0,5","0,8","0,1","0,04",D,,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres doux', 'Beurres de baratte']",,,,82 g,en quantité élevée,54.4 g,en quantité élevée,0.5 g,en faible quantité,0.1 g,en faible quantité,+1%,+2%,0%,+1%,+1%,+1%,-11%,+13%,-92%,-92%,19,-17%,E,-17%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,
1200,Hauts de cuisse de piulet,0213323022561,,,,,,['France'],[],,,[],,?,229,958 kj(229 kcal),16,"4,3","4,3",0,17,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,Extrait de pamplemousse,3031443127150,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Skyr vanille au lait de vache - Biocoop,3760121216250,,['Fresh'],['Biocoop'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,,[],,318,76,318 kj(76 kcal),0,0,"9,4","9,4","9,4","0,1","0,04",,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Skyr']",['France'],,,0 g,en faible quantité,0 g,en faible quantité,9.4 g,en quantité modérée,0.1 g,en faible quantité,+18%,+12%,+11%,-100%,-100%,+45%,+61%,+1%,-6%,-6%,-3,,A,,,,,,,,,,,,,
1203,Garbanzo cocido,8436012948214,,,,,,['France'],[],,,[],,?,81.2,340 kj(81 kcal),"2,8","0,35","8,1","0,9","3,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Sucre de canne complet bi,7441017910266,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,Arachide grillée,3760287071090,,,,,,['France'],[],,,[],,?,617,2582 kj(617 kcal),"47,7","20,9","18,2","3,7","24,8","20,9","8,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Creme de Marrons,3701002506060,,,,,,['France'],[],,,[],,?,270,1130 kj(270 kcal),"0,8","0,2",64,50,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,Confiture framboise - Raoul Gey,3193840000594,,,['Raoul Gey'],,,['France'],"['Sucre de canne', 'framboises', 'gélifiant : pectines', 'acidifiant : jus de citron concentre']",['E440 - Pectines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1027,242,1027 kj(242 kcal),"0,1",0,58,57,"0,7",0,0,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,,,0.1 g,en faible quantité,0 g,en faible quantité,57 g,en quantité élevée,0 g,en faible quantité,+8%,+8%,+9%,-63%,-100%,+9%,+11%,+4%,-100%,-100%,9,+2%,C,+2%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,
1208,Bonbons pastilles au miel,3335440311704,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Thé mariage frère,3700286544164,,,,,,['France'],[],,,[],,?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Safran en poudre,3234750030148,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,Extra Virginie olive oil,8032003000048,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,méli-mélo légumes anciens,3434410071553,,,,,,['France'],[],,,[],,?,35,146 kj(35 kcal),"1,8","1,1","9,3","3,7","2,2","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Poudre pour crème au goût de pandam,8850030118112,,,,,,['France'],[],,,[],,?,460,1925 kj(460 kcal),14,12,82,63,2,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Cheveux d'ange bio à la betterave,3264963020582,,,,,,['France'],[],,,[],,?,347,1452 kj(347 kcal),"1,6","0,4",69,"6,5","12,4","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Burro di qualità,80097655,,,,,,['France'],[],,,[],,?,745,3117 kj(745 kcal),82,58,1,"0,8","0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,Marsel Sauberes Meersalz,5425000966715,,,,,,['France'],[],,,[],,?,0,0 kj(0 kcal),?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Bottarga di tonno grattugiata in vaso da,8019500000863,,,,,,['France'],[],,,[],,?,222,929 kj(222 kcal),"9,7","6,5",2,"0,5","31,2","18,2","7,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Mascarpone,3701002405875,,,,,,['France'],[],,,[],,?,397,1661 kj(397 kcal),40,29,"4,5","4,4",4,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Cuisse de dinde cn,2124890003298,,,,,"['FR 29.236.010 CE', 'Riec-sur-Belon (Finistère, France)']",['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Paturette légère* chocolat,3250393007934,,['Pot en plastique'],,"['Nutriscore', 'Nutriscore A']",,['France'],[],,,[],,?,85,356 kj(85 kcal),"1,5",1,"13,1","10,5","3,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,Kiri,4901231901363,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Filets de poulet nourri aux grains de blé - Maître Coq,3230890050336,,,['Maître Coq'],"['Nutriscore', 'Nutriscore A']",,['France'],[],,,[],,?,113,473 kj(113 kcal),"2,3","0,7",0,0,23,"0,1","0,04",D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,2.3 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,-14%,-13%,-20%,-6%,-100%,-100%,+1%,-87%,-87%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,
1223,8410063078212,8410063078212,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,ESKI KASAR,4027394038903,,,,,,['France'],[],,,[],,?,307,1284 kj(307 kcal),23,17,"0,5",0,24,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,3378740482088,3378740482088,,,,,"['FR 56.244.005 CE', 'Sérent (Morbihan, France)']",['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,Lenticchie dell’Altopiano di Colfiorito,8009242101003,,,,,,['France'],[],,,[],,?,329,1377 kj(329 kcal),2,"0,6","44,5","6,5","25,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,Garbure Basque,3332870022613,,,,,,['France'],[],,,[],,?,86,360 kj(86 kcal),"4,4","0,8","3,1","0,8","8,6","0,97","0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,Poitrine de porc fumée VPF,2226033031165,,,,,,['France'],[],,,[],,?,115,481 kj(115 kcal),23,"8,8","0,9","0,4",16,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,Brioche pur beurre,2701085700950,,,,,,['France'],[],,,[],,?,379,1586 kj(379 kcal),15,"9,4",51,13,"8,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,Poulet à la basquaise,3332870022668,,,,,,['France'],[],,,[],,?,130,544 kj(130 kcal),6,"0,4","2,9",2,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,Skyr Pêche - MClassic,7613404535554,,,['MClassic'],,,['France'],[],,,[],,?,51,213 kj(51 kcal),"0,5","0,5","3,6","2,6",9,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Migros'],,,,
1232,Nectar fruit de la passion,3556000961874,,,,,,['France'],[],,,[],,?,110,460 kj(110 kcal),0,0,25,17,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,Potée de truite,3332870022330,,,,,,['France'],[],,,[],,?,107,448 kj(107 kcal),"5,4","0,8","3,3","1,2",11,"0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,Pointes d’Asperges,3332870058254,,,,,,['France'],[],,,[],,?,23,96 kj(23 kcal),"0,5","0,1",1,1,"3,04","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,Filet mignon de porc,2421037083770,,,,,"['EMB 49323B', ""Saint-Sylvain-d'Anjou (Maine-et-Loire, France)""]",['France'],[],,,[],,?,122,510 kj(122 kcal),"4,1","1,7",0,0,21,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,Frappé milkshake caramel,3474340025905,,,,,,['France'],[],,,[],,?,387,1619 kj(387 kcal),"0,9","0,6",89,74,"5,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,Mayonnaise Legere,3660603084073,,,,,,['France'],[],,,[],,?,373,1561 kj(373 kcal),"31,3",29,"8,5","4,9","0,6","2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,Pouvre d’agave bio,3165437043444,,,,,,['France'],[],,,[],,?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,Boveti,3501940161006,,,,,,['France'],[],,,[],,?,578,2418 kj(578 kcal),38,24,53,52,6,"0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,Authentiques haricots géants grecs de Kastoria,5200417000142,,,,,,['France'],[],,,[],,?,290,1213 kj(290 kcal),"1,2","0,1","65,4","4,7",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,Miel,3760219050018,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
