,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,packaging,additives,nova_score,manufacturing,markets,allergens,ingredients_origins,link,origin_detail,brand_owner,palm_ingredients,producer_info
49,Les Sable bio fruits  rouges - 150g,3593551177729,150 g,,['France'],[],[],?,541,2264 kj(541 kcal),26,17,68,30,"7,2","0,43","0,172",B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Sablés aux fruits rouges']","['Bio', 'Bio européen', 'Commerce équitable', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10']",26 g,en quantité élevée,17 g,en quantité élevée,30 g,en quantité élevée,0.43 g,en quantité modérée,,+10%,+10%,+12%,+22%,+8%,+18%,+16%,-37%,-37%,23,+5%,E,+5%,75.7%,14.7%,4.3%,2.8%,2.6%,0.0%,65,,,"['Film en plastique', 'Etui en carton']",,,,,,,,,,,
50,Porridge Cacao & Graines - Celnat - 350g,3273120030647,350 g,['Celnat'],['France'],"['AVOINE* Demeter 79% ', 'son et flocons', 'NOISETTES* Demeter 11%', 'cacao* 6% ', 'fèves et poudre', 'graines* 4% ', 'sarrasin* grillé', 'lin*', 'SESAME*', ' *issus de l’agriculture biologique']",[],?,393,1644 kj(393 kcal),16,"2,9",38,"1,8",13,0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Mueslis', 'Mueslis floconneux', 'Flocons de céréales', 'Céréales au chocolat', 'Mueslis au chocolat', 'Porridge', 'Porridge au chocolat']","['Bio', 'Bio européen', 'Bio-dynamie', 'Demeter']",16 g,en quantité modérée,2.9 g,en quantité modérée,1.8 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+95%,+44%,-34%,-80%,+8%,-100%,-100%,1,,B,,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,['sachet plastique'],,1,,,"['Fruits à coque', 'Avoine', 'Graines de sésame']",,https://www.celnat.fr/ref/porridge-cacao-graines-demeter,,,,
51,Biscuits Chocolat et Noisettes 100g BIO - Bam&Co - 100g,3770013545894,100 g,['Bam&Co'],['France'],"['Farine de riz complet*', 'compote de pomme* ', 'pommes*', 'sucre de canne*', ""purée d'amandes*"", 'sucre non raffiné*', 'noisettes grillées* ', '9%', 'pépites de chocolat* ', '6%', 'huile de tournesol*', 'arôme naturel vanille*', 'sel', "" *Ingrédients issus de l'Agriculture Biologique"", ' Les allergènes sont indiqués en gras', ' Peut contenir des traces de lait', ""d'oeuf"", 'de gluten', ""d'autres fruits à coque et de graines de sésame""]",[],2142,512,2142 kj(512 kcal),"25,7","3,8","66,4",22,"5,9","0,15","0,06",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Bio', 'Bio européen', 'Sans arômes artificiels', 'Sans gluten', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Riche en fibres', 'Fabriqué en France', 'Sans additifs', 'Sans huile de palme', 'Sans conservateurs', 'AB Agriculture Biologique', 'Farine complète', 'Sans-sucres-raffines', 'Source de protéines', 'Végé-friendly']",25.7 g,en quantité élevée,3.8 g,en quantité modérée,22 g,en quantité élevée,0.15 g,en faible quantité,+7%,+8%,+8%,+24%,-62%,+4%,-25%,-9%,-75%,-75%,8,-60%,C,-60%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,"['Carton-recyclable', 'sachet-plastique']",,4,['Ile de France'],,"['Noisettes grillées', ""Purée d'amandes""]",,,,,,
52,Petits Toasts Fenouil et Romarin 80g BIO - Bam&Co - 80g,3770013545870,80 g,['Bam&Co'],['France'],"['Eau', ""flocons d'avoine*"", 'farine de sarrasin*', 'farine de maïs*', 'poudre de fenouil* ', '5%', ""sirop d'agave*"", 'huile de tournesol*', 'romarin* ', '1%', 'sel', ""*Ingrédients issus de l'Agriculture Biologique"", ' Les allergènes sont indiqués en gras', ' Peut contenir des traces de lait', ""d'oeuf"", 'de gluten', ""d'autres fruits à coque et de graines de sésame""]",[],1456,348,1456 kj(348 kcal),"8,2","1,2","55,6","6,9","8,3","1,25","0,5",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']","['Bio', 'Bio européen', 'Sans arômes artificiels', 'Sans gluten', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Riche en fibres', 'Fabriqué en France', 'Sans additifs', 'Sans huile de palme', 'Sans conservateurs', 'AB Agriculture Biologique', 'Végé-friendly']",8.2 g,en quantité modérée,1.2 g,en faible quantité,6.9 g,en quantité modérée,1.25 g,en quantité modérée,-27%,-25%,-26%,-59%,-78%,-6%,+76%,-16%,-38%,-38%,6,-61%,C,-61%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,"['Carton-recyclable', 'sachet-plastique']",,3,['Ile de France'],,,,,,,,
53,Petits Toasts Tomates et Herbes de Provence 80g BIO - Bam&Co - 80g,3770013545863,80 g,['Bam&Co'],['France'],"['Eau', ""flocons d'avoine*"", 'farine de sarrasin*', 'farine de maïs*', 'poudre de tomate* ', '7%', ""sirop d'agave*"", 'huile de tournesol*', 'herbes de Provence* ', '1%', 'sel', ""*Ingrédients issus de l'Agriculture Biologique"", ' Les allergènes sont indiqués en gras', ' Peut contenir des traces de lait', ""d'oeuf"", 'de gluten', ""d'autres fruits à coque et de graines de sésame""]",[],1648,394,1648 kj(394 kcal),"9,2","1,2","62,6","8,9","10,2","1,4","0,56",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']","['Bio', 'Bio européen', 'Sans arômes artificiels', 'Sans gluten', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Riche en fibres', 'Fabriqué en France', 'Sans additifs', 'Sans huile de palme', 'Sans conservateurs', 'AB Agriculture Biologique', 'Végé-friendly']",9.2 g,en quantité modérée,1.2 g,en faible quantité,8.9 g,en quantité modérée,1.4 g,en quantité modérée,-18%,-15%,-16%,-54%,-78%,+5%,+127%,+3%,-30%,-30%,7,-55%,C,-55%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,"['Carton-recyclable', 'sachet-plastique']",,3,['Ile de France'],,,,,,,,
54,Petits Toasts Graines de Courges et Cumin 80g BIO - Bam&Co - 80g,3770013545856,80 g,['Bam&Co'],['France'],"['Eau', ""flocons d'avoine*"", 'farine de sarrasin*', 'farine de maïs*', 'graines de courge* ', '6%', ""sirop d'agave*"", 'huile de tournesol*', 'sel', 'cumin* ', '0,3%', ""*Ingrédients issus de l'Agriculture Biologique"", ' Les allergènes sont indiqués en gras', ' Peut contenir des traces de lait', ""d'oeuf"", 'de gluten', ""d'autres fruits à coque et de graines de sésame""]",[],1539,368,1539 kj(368 kcal),"11,2","1,9","54,9","5,6","6,3","1,61","0,644",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']","['Bio', 'Bio européen', 'Sans arômes artificiels', 'Sans gluten', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Riche en fibres', 'Fabriqué en France', 'Sans additifs', 'Sans huile de palme', 'Sans conservateurs', 'AB Agriculture Biologique', 'Végé-friendly']",11.2 g,en quantité modérée,1.9 g,en quantité modérée,5.6 g,en quantité modérée,1.61 g,en quantité élevée,-23%,-21%,-21%,-44%,-65%,-8%,+43%,-36%,-20%,-20%,8,-48%,C,-48%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,"['Carton-recyclable', 'sachet-plastique']",,3,['Ile de France'],,,,,,,,
55,Biscuits Pain d'Épices et Cranberries 100g BIO - Bam&Co - 100g,3770013545849,100 g,['Bam&Co'],['France'],"['Farine de riz complet*', 'compote de pomme* ', 'pommes*', 'sucre de canne*', ""purée d'amandes*"", 'sucre non raffiné*', 'cranberries* ', '11%', 'huile de tournesol*', ""mélange pour pain d'épices* "", '1%', 'sel', "" *Ingrédients issus de l'Agriculture Biologique"", ' Les allergènes sont indiqués en gras', ' Peut contenir des traces de lait', ""d'oeuf"", 'de gluten', ""d'autres fruits à coque et de graines de sésame""]",[],1963,469,1963 kj(469 kcal),18,"1,9","72,9","26,7","5,6","0,15","0,06",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Bio', 'Bio européen', 'Sans arômes artificiels', 'Sans gluten', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Riche en fibres', 'Fabriqué en France', 'Sans additifs', 'Sans huile de palme', 'Sans conservateurs', 'AB Agriculture Biologique', 'Farine complète', 'Sans-sucres-raffines', 'Source de protéines', 'Végé-friendly']",18 g,en quantité modérée,1.9 g,en quantité modérée,26.7 g,en quantité élevée,0.15 g,en faible quantité,-2%,-1%,-1%,-13%,-81%,+14%,-9%,-14%,-75%,-75%,6,-70%,C,-70%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,"['Carton-recyclable', 'sachet-plastique']",,3,['Ile de France'],,"[""Purée d'amandes""]",,,,,,
56,Biscuits Tout Chocolat 100g BIO - Bam&Co - 100g,3770013545832,100 g,['Bam&Co'],['France'],"['Farine de riz complet*', 'compote de pomme* ', 'pommes*', 'sucre de canne*', ""purée d'amandes*"", 'sucre non raffiné*', 'pépites de chocolat* ', '7%', 'huile de tournesol*', 'cacao en poudre*', 'arôme naturel vanille*', 'sel', "" *Ingrédients issus de l'Agriculture Biologique"", ' Les allergènes sont indiqués en gras', ' Peut contenir des traces de lait', ""d'oeuf"", 'de gluten', ""d'autres fruits à coque et de graines de sésame""]",[],2040,487,2040 kj(487 kcal),"21,4","3,9","68,7","22,8",6,"0,15","0,06",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Bio', 'Bio européen', 'Sans arômes artificiels', 'Sans gluten', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Riche en fibres', 'Fabriqué en France', 'Sans additifs', 'Sans huile de palme', 'Sans conservateurs', 'AB Agriculture Biologique', 'Farine complète', 'Sans-sucres-raffines', 'Source de protéines', 'Végé-friendly']",21.4 g,en quantité élevée,3.9 g,en quantité modérée,22.8 g,en quantité élevée,0.15 g,en faible quantité,+2%,+3%,+3%,+3%,-61%,+7%,-23%,-8%,-75%,-75%,9,-55%,C,-55%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,"['Carton-recyclable', 'sachet-plastique']",,4,['Ile de France'],,"[""Purée d'amandes""]",,,,,,
57,Muesli aux Fruits - Bam&Co - 350g,3770013545795,350 g,['Bam&Co'],['France'],"[""Flocons d'avoine*"", 'sarrasin grillé*', 'fruits séchés tranchés* ', '12,5%', ' [raisins secs*', 'figues séchées*', 'abricots secs*', 'chips de banane*]', 'graines de courges*', ""*Ingrédients issus de l'Agriculture Biologique"", ' Les allergènes sont indiqués en gras', ' Peut contenir des traces de lait', ""d'oeuf"", 'de gluten', ""d'autres fruits à coque et de graines de sésame""]",[],1527,365,1527 kj(365 kcal),"6,9","1,7","59,7","7,4","9,7","0,02","0,008",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']","['Bio', 'Bio européen', 'Sans arômes artificiels', 'Sans gluten', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Riche en fibres', 'Fabriqué en France', 'Sans sucre ajouté', 'Sans additifs', 'AB Agriculture Biologique', 'Végé-friendly']",6.9 g,en quantité modérée,1.7 g,en quantité modérée,7.4 g,en quantité modérée,0.02 g,en faible quantité,-14%,-12%,-12%,-47%,-49%,-1%,-56%,-2%,-89%,-89%,-4,-181%,A,-181%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,"['Carton-recyclable', 'sachet-plastique']",,1,['Ile de France'],,,,,,,,
58,Spaghetti de courgette,2868039009580,,,['France'],[],[],?,15,63 kj(15 kcal),"0,1",0,"1,8","0,3","1,3",,,,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Carola naturelle - 1l,3268650001250,1 l,['Carola'],['France'],"['Calcium : 73mg/l,Magnésium : 20mg/l', 'Sodium : 13mg/l,Potassium :7mg/l,Sulfates : 143mg/l,Chlorures : 57mg/l,Nitrates: 1,57mg/l,Bicarbonates : 427mg/l,Résidu sec à 180°C :665mg/l']",[],?,?,,?,,?,,?,"0,333","0,133",,"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux minérales naturelles', 'Eau minérale naturelle non gazeuse']",,,,,,,,0.333 g,en quantité modérée,,,,,,,,,+672%,+672%,1,+452%,A,+452%,,,,,,,,,,['Glas'],,,"['Ribeauvillé', 'Alsace', 'France']",['Match'],,,,,,,
60,Risotto aux Champignons - Markal,3329486000180,,['Markal'],['France'],[],[],?,343,1435 kj(343 kcal),"1,3",0,74,0,"7,5","2,3","0,92",B,"['Plats préparés', 'Plats à base de riz', 'Risottos', 'Risottos aux légumes', 'Risottos aux champignons']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",1.3 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,2.3 g,en quantité élevée,,+39%,+44%,-58%,-100%,+71%,-100%,+29%,+161%,+161%,14,+219%,D,+219%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,,,,,,,,,,,,,,
61,"Naturnes bio pomme, ananas, kiwi",7613038329383,,,['France'],[],[],?,69,289 kj(69 kcal),"2,1","1,8","10,8",10,"0,6",,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Sans conservateurs', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Kombucha l'eau à la bouche,0634438103769,,,['France'],[],[],?,16,67 kj(16 kcal),0,0,4,4,0,0,0,C,"['Boissons', 'Boissons au thé', 'Kombuchas']",,0 g,en faible quantité,0 g,en faible quantité,4 g,en quantité modérée,0 g,en faible quantité,,-11%,-11%,-100%,-100%,+5%,+17%,-100%,-100%,-100%,6,+5%,D,+5%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,,,,,,,,,,,,,
63,Bio Sauerrahmen - Andechser Natur - 200g,4104060011146,200g,['Andechser Natur'],"['France', 'Allemagne']",['Bio-Sauerrahm mit mindestens 10% Fett'],[],479,116,479 kj(116 kcal),10,"6,6","3,3","3,3","3,1","0,1","0,04",B,"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes aigres']","['Bio', 'Bio européen', 'en:Bioland', 'DE-ÖKO-001', 'Sans OGM', 'en:Ohne Gentechnik']",10 g,en quantité modérée,6.6 g,en quantité élevée,3.3 g,en faible quantité,0.1 g,en faible quantité,-44%,-51%,-52%,-57%,-57%,-10%,+1%,+17%,-15%,-15%,6,-49%,C,-49%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['DE BY 117 EG'],,"['Kunststoff', 'Papier']",,,,,,,,,,,
64,cool basil fraise,3700871401674,,,['France'],[],[],?,18,75 kj(18 kcal),0,0,"4,7","4,5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Chips sel et vinaigre - Auchan - 135g,3596710483112,135 g,['Auchan'],['France'],[],[],?,525,2197 kj(525 kcal),31,"2,6",53,"0,5",6,"1,4","0,56",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips au sel et vinaigre']","['Nutriscore', 'Nutriscore C']",31 g,en quantité élevée,2.6 g,en quantité modérée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,-0%,-1%,-3%,-8%,+2%,-63%,+1%,-13%,-13%,9,-27%,C,-27%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['EMB 56213D', 'Saint-Gérand (Morbihan, France)']",,,,,,['Auchan'],,,,,,,
66,recette New delhi pomme pêche blanche touchede jasmin,3021760406175,,,['France'],[],[],?,55,230 kj(55 kcal),"0,5","0,2",11,"9,9","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Café moulu - Bio Village,3564707145015,,"['Bio Village', 'Marque Repère']",['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']","['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'FR-BIO-10', 'Max Havelaar']",,,,,,,,,,-67%,-71%,-100%,-100%,-21%,-100%,-51%,-100%,-100%,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,,['Leclerc'],,,,,,,
68,"Tourtel - 12x27,5cl tourtel twist citron - 0.00 degre alcool - 3300ml",3080216055275,3300 ml,"['Tourtel', 'Tourtel Twist']",['France'],"['Eau', 'sucre', ""MALT D'ORGE"", 'jus de citron à base de jus concentré ', '2,8%', 'dioxyde de carbone', ""arôme naturel de citron avec d'autres arômes naturels"", ""stabilisant : gomme d'acacia"", 'extrait concentré de citron', 'extrait de houblon']",[],125,30,125 kj(30 kcal),0,0,"7,7","5,1","0,4","0,01","0,004",C,"['Boissons', 'Boissons sans alcool', 'Bières sans alcool']","['Sans arômes artificiels', 'Sans colorants', 'PEFC', 'Triman']",0 g,en faible quantité,0 g,en faible quantité,5.1 g,en quantité modérée,0.01 g,en faible quantité,+2%,+3%,+4%,-100%,-100%,+19%,+30%,+55%,+10%,+10%,9,+15%,D,+15%,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,Boisson sans alcool à base de bière au jus de citron aromatisée citron.,['Bouteille'],"['E290 - Dioxyde de carbone', ""E414 - Gomme d'acacia""]",4,,,['Gluten'],,,,,,
69,Blinis,3562562888863,,,['France'],[],[],?,281,1176 kj(281 kcal),12,"1,8",34,4,"9,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Substitut végétal de blanc d'œuf - Yumgo - 25cl,3770015326026,25cl,['Yumgo'],['France'],"['Eau', 'protéine de pomme de terre', ""fibre d'acacia"", 'fibre de lin', 'stabilisant: gomme de xanthane', 'sel']",[],?,?,,"0,03",,"0,08",,"8,35","0,18","0,072",,"[""Substituts de blanc d'oeuf""]",,0.03 g,en faible quantité,,,,,0.18 g,en faible quantité,,,,,,,,,,,,,,,,,,,,,,,,['Plastique'],['E415 - Gomme xanthane'],4,,,,,,,,,
71,Ranchera Sauce - La Costeña,0076397889238,,['La Costeña'],['France'],[],[],?,33.3,139 kj(33 kcal),0,0,2,0,0,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Terrine de canard aux deux olives,3503361463455,,,['France'],[],[],?,286,1197 kj(286 kcal),26,"8,5",0,0,13,"1,3","0,52",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,26 g,en quantité élevée,8.5 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,,-7%,-6%,-1%,-11%,-100%,-100%,-8%,-15%,-15%,16,-11%,D,-11%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,,,,
73,Jus de citron,3700139171004,,,['France'],[],[],?,28,117 kj(28 kcal),0,0,"6,5","1,8","0,4",0,0,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",,0 g,en faible quantité,0 g,en faible quantité,1.8 g,en faible quantité,0 g,en faible quantité,,+4%,+4%,-100%,-100%,+82%,+8%,+19%,-100%,-100%,-4,,B,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,
74,Dragibus,3103220046746,,,['France'],[],[],?,371,1552 kj(371 kcal),"0,5","0,1",92,58,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Zlabia,3760036351084,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Whey 100% professionnal choco cachuete - 2350g,5999100012684,2350 g,,['France'],[],[],?,371,1552 kj(371 kcal),"6,7","2,3","4,7","4,7",73,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Sirop mojito,3760108028395,,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops mojito']",,,,,,,,,,,-100%,-100%,,,,,,-100%,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,
78,Barre de superfood coco cacao - OKKO - 40g,7500462899394,40 g,['OKKO'],['France'],[],[],?,190,795 kj(190 kcal),"11,3",4,"18,6","8,6",4,"0,015","0,006",,"['en:nueces y frutas', 'es:Barras semillas']",,11.3 g,en quantité modérée,4 g,en quantité modérée,8.6 g,en quantité modérée,0.015 g,en faible quantité,,,,,,,,,,,4,,C,,,,,,,,,,,['Plástico'],,,,,,,,,,,
79,Farine d'épeautre type 130,3760121214638,,,['France'],[],[],?,346,1448 kj(346 kcal),"2,5","0,1",67,"2,2",10,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-09']",2.5 g,en faible quantité,0.1 g,en faible quantité,2.2 g,en faible quantité,,,,+1%,+1%,+87%,-57%,-4%,+44%,-8%,,,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,,,,,,,
80,Mountain dew kickstart pineapple orange mango - KickSrart - 355ml,0012000180323,355 ml,['KickSrart'],['France'],[],[],?,80,335 kj(80 kcal),0,0,20,19,0,"0,2","0,08",,"['Boissons', 'Boissons gazeuses', 'Sodas']",,0 g,en faible quantité,0 g,en faible quantité,19 g,en quantité élevée,0.2 g,en quantité modérée,,+196%,+189%,-100%,-100%,+195%,+187%,-100%,+1339%,+1339%,20,+117%,E,+117%,,,,,,,,,,"['Cannette', 'alluminium']",,,,,,,,,,,
81,Croissant chocolate .,9002859045301,,,['France'],[],[],?,413,1728 kj(413 kcal),20,11,51,22,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Schwarzkümmelöl,4250382200642,,,['France'],[],[],?,828,3464 kj(828 kcal),92,15,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Ma confiture Bio de Mures - NaturéO,3701091700332,,['NaturéO'],['France'],[],[],?,217,908 kj(217 kcal),"0,1","0,1",51,50,"0,6","0,1","0,04",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de mûres']","['Bio', 'Bio européen', 'FR-BIO-01']",0.1 g,en faible quantité,0.1 g,en faible quantité,50 g,en quantité élevée,0.1 g,en faible quantité,,-6%,-6%,-65%,+60%,-8%,-5%,+1%,+194%,+194%,7,-29%,C,-29%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,
84,Cassoulet aux manchons confits,3700028401168,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Gran Soffice,8000300123494,,,['France'],[],[],?,381,1594 kj(381 kcal),14,"7,8",55,33,"7,1","0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Tranchettes de cheddar - Interdis,3560071080402,,"['Interdis', 'En Cuisine']",['France'],[],[],?,413,1728 kj(413 kcal),35,23,0,0,24,"1,8","0,72",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages du Royaume-Uni', ""Fromages d'Angleterre"", 'Cheddars']",,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,,+4%,+4%,+6%,+10%,-100%,-100%,+2%,+2%,+2%,17,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)', 'EMB 62907D', 'Libercourt (Pas-de-Calais, France)']",,,,,,,,,,,,,
87,Salés du montagnard Biscuits aperitifs a l'abondance,3760242620806,,,['France'],[],[],?,368,1540 kj(368 kcal),20,9,37,"3,4",9,"1,5","0,6",,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Cao Ball - Supplex,3258260030122,,['Supplex'],['France'],[],[],?,138,577 kj(138 kcal),"2,8","1,91","81,59","20,19","2,1","0,17","0,068",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Oral Impact,1190280,,,['France'],[],[],?,144,602 kj(144 kcal),"3,9","1,8","18,9",12,"7,6","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Happy Easter,4006613004790,,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Jus d'abricot biologique,8436029241636,,,['France'],[],[],?,48,201 kj(48 kcal),0,0,"11,2","10,18","0,38",0,0,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
