,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,quantity,markets,packaging,brand_owner,generic_name,ingredients_origins,manufacturing,link,palm_ingredients,producer_info,origin_detail
1119,Ingwer-sticks - enerBiO - 100g,4305615187150,,"['enerBiO', 'ener BiO']",['de:Süssigkeit'],['France'],"['Rohrohrzucker*', 'Ingwer 30% getrocknet']",,,"['Végétalien', 'Végétarien']",3,0.333 g,en faible quantité,0 g,en faible quantité,80 g,en quantité élevée,0.0333 g,en faible quantité,1440,,340,,1440 kj(340 kcal),,"0,333",,0,,"83,3",,80,,0,,"0,033",,"0,013",,13,,D,,,,,,,,,"['Bio', 'Végétarien', 'Sans gluten', 'Végétalien']",,100 g,['Rossmann'],['Beutel'],,,,,,,,
1120,"Bami Goreng, Gebratene Nudeln - Maggi - 120g",7613035459021,,['Maggi'],,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,176,,736 kj(176 kcal),,"4,5",,"0,7",,"26,7",,"1,9",,"6,1",,"1,3",,"0,52",,,,,,,,,,,,,,,120g,,,,,,,,,,
1121,Pålægschokolade,5705830080271,,,,['France'],[],,,[],,,,,,,,,,?,,518,,2167 kj(518 kcal),,29,,17,,57,,55,,"4,1",,0,,0,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,
1122,Pain au chocolat beurre,2090000190762,D,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,
1123,Baton d'avoine pomme canelle - Sultana,8710412036833,,['Sultana'],,['France'],[],,,[],,,,,,,,,,?,,379,,1586 kj(379 kcal),,8,,"1,1",,"61,9",,"17,2",,"7,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
1124,Carte Noire,3280110020007,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Miel,3396400000380,,,,['France'],[],,,[],,,,,,,,,,?,,324,,1356 kj(324 kcal),,0,,0,,81,,81,,"0,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Cassoulet gastronomique au canard confit - Maison Occitane,3443705054225,C,['Maison Occitane'],"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats à base de haricots', 'Plats préparés en conserve', 'Plats au canard', 'Cassoulets', 'Cassoulets au confit de canard']",['France'],[],,,[],,9.3 g,en quantité modérée,3.4 g,en quantité modérée,1.3 g,en faible quantité,1 g,en quantité modérée,?,,180,+18%,753 kj(180 kcal),+19%,"9,3",+20%,"3,4",+21%,"9,9",+25%,"1,3",+81%,13,+24%,1,+12%,"0,4",+12%,4,+144%,C,+144%,66.0%,17.7%,6.2%,5.5%,2.7%,2.0%,72,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,
1127,Gomme magique,4084500288119,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Belvedere Gebäckmischung,9000331608709,,,,['France'],[],,,[],,,,,,,,,,?,,455,,1904 kj(455 kcal),,19,,13,,64,,31,,"5,6",,"0,31",,"0,124",,,,,,,,,,,,,,,,,,,,,,,,,
1129,Fonds d' artichauts - Casino,3222475307317,,['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Artichauts', ""Coeurs d'artichauts""]",['France'],[],,,[],,0.2 g,en faible quantité,0.1 g,en faible quantité,2.4 g,en faible quantité,0.78 g,en quantité modérée,?,,28,-44%,117 kj(28 kcal),-43%,"0,2",-88%,"0,1",-58%,"3,3",-28%,"2,4",+97%,"1,5",-14%,"0,78",-9%,"0,312",-9%,-2,,A,,,,,,,,,['en:produced-in-bretagne'],,,['Casino'],,,,,,,,,
1130,Vitamin water,0786162003515,,['Vitamin Water'],,"['France', 'États-Unis']",[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,4,,0,,0,,0,,0,,,,,,,,,,,,,,,,,['pet-bottle'],,,,,,,,
1131,truffled cheese & champagne,5017764116200,,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,510,,2134 kj(510 kcal),,"29,1",,3,,"51,5",,"1,6",,"6,8",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
1132,Poulet saupoudre d'epices - Auchan,2090000138207,,['Auchan'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,
1133,Pizza blanche legumes grillés à la napolitaine - Delhaize - 485g,5400113610564,,['Delhaize'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']","['Belgique', 'France']","['farine de blé tendre', 'eau', 'courgette grillée ', '9,8%', 'fromage ricotta de brebis ', 'lactosérum de brebis', 'lait de brebis', 'sel', 'tomates grillées ', '5,6%', 'radicchio rosso di Treviso IGP', 'aubergines grillées ', '3,9%', 'poivrons rouges grillés ', '3,9%', 'poivrons jaunes grillés ', '3,9%', 'huile de tournesol', 'crème de lait en poudre ', 'protéines du lait', 'lait entier en poudre', 'amidon modifié de maïs', 'sel', ""huile d'olive vierge extra"", 'sel', 'levure', ""huile d'olive"", 'cèpes séchés en poudre ', 'Boletus edulis et autres groupes', 'persil', 'ail', 'origan', 'poivre noir', ' Contient: gluten', 'lait', ' Fabriqué dans un atelier qui utilise aussi: soja']",['E14XX - Amidons modifiés'],"['Gluten', 'Lait']",['Non végétalien'],4,7.8 g,en quantité modérée,0.8 g,en faible quantité,1.8 g,en faible quantité,0.7 g,en quantité modérée,?,,194,-15%,812 kj(194 kcal),-15%,"7,8",-7%,"0,8",-80%,"23,4",-13%,"1,8",-39%,"6,7",-35%,"0,7",-44%,"0,28",-44%,1,-87%,B,-87%,,,,,,,,"['Nutriscore', 'Nutriscore B']",,485 g,['Delhaize'],,,,,,,,,
1134,Rillettes à L'ancienne Au Vouvray - Hardouin,3760031460446,,['Hardouin'],,['France'],[],,,[],,,,,,,,,,?,,519,,2171 kj(519 kcal),,"49,1",,"19,5",,"1,8",,"0,5",,"17,5",,"0,94",,"0,376",,,,,,,,,,,,,,,,,,,,,,,,,
1135,Petites sardines à l'huile d'olive,5604739000550,D,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",['France'],[],,,[],,14 g,en quantité modérée,3.7 g,en quantité modérée,0 g,en faible quantité,0.62 g,en quantité modérée,?,,216,-13%,904 kj(216 kcal),-12%,14,-21%,"3,7",-4%,0,-100%,0,-100%,23,+8%,"0,62",-31%,"0,248",-31%,2,-64%,B,-64%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,,,,,,,,
1136,Rustiguette céréales (baguette),0271045009840,,,,['France'],[],,,[],,,,,,,,,,?,,260,,1088 kj(260 kcal),,"4,2",,"0,6",,45,,"2,7",,"8,2",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,
1137,Cirage instantané incolore - 75ml,3181731329053,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,75 ml,,,,,,,,,,
1138,Mandarine Clemenvilla,3276550320630,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,Pain d'epice au gingembre avec sucre glace,5060096691389,B,,"['Biscuits et gâteaux', ""Pains d'épices""]",['France'],[],,,[],,8.2 g,en quantité modérée,3.6 g,en quantité modérée,32 g,en quantité élevée,0.78 g,en quantité modérée,?,,404,+20%,1690 kj(404 kcal),+19%,"8,2",+135%,"3,6",+190%,76,+7%,32,-21%,"5,9",+36%,"0,78",+79%,"0,312",+79%,18,+28%,D,+28%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,,,,,
1140,Les colliers de friandises,5701181120406,,,,['France'],[],,,[],,,,,,,,,,?,,336,,1406 kj(336 kcal),,"1,5",,"1,5",,88,,86,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1141,Cigalou Cerfeuil 8g Pot Verre - 8g,3250390002970,,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,8 g,,['boîte'],,,,,,,,
1142,Canebiere pastis 45°,3254560058002,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Infusion L'épicurienne,3515450034392,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,Wafers - Forum - 250g,5400265029313,C,['Forum'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Pâtisseries', 'Gaufres']",['France'],"['Farine de blé', 'sucre', 'beurre 20% ', 'lait', 'œuf', 'sel', 'amidon de blé', 'poudre à lever : E503ii']","[""E503ii - Carbonate acide d'ammonium""]","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,21 g,en quantité élevée,13 g,en quantité élevée,36 g,en quantité élevée,0.51 g,en quantité modérée,?,,495,+10%,2071 kj(495 kcal),+10%,21,-2%,13,+25%,69,+20%,36,+18%,"6,1",+1%,"0,51",-28%,"0,204",-28%,25,+15%,E,+15%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,['Fabriqué en Belgique'],,250g,,"['boîte en carton', 'emballage aluminium', 'barquette en plastique']",,,,,,,,
1145,3258430033168,3258430033168,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,Cracker - Feurich,26071633,,['Feurich'],,['France'],[],,,[],,,,,,,,,,?,,2,,8 kj(2 kcal),,22,,"1,9",,57,,"8,7",,"9,5",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,
1147,Korean Ginseng Candy,8801566036289,,,,['France'],[],,,[],,,,,,,,,,?,,390,,1632 kj(390 kcal),,0,,0,,97,,"74,3",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Terrine de canard - Vidal,3700233311078,E,['Vidal'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",['France'],[],,,[],,15 g,en quantité modérée,5.4 g,en quantité élevée,0 g,en faible quantité,1.9 g,en quantité élevée,?,,202,-34%,845 kj(202 kcal),-34%,15,-43%,"5,4",-43%,"0,7",-59%,0,-100%,16,+13%,"1,9",+24%,"0,76",+24%,15,-16%,D,-16%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,,,
1149,Tonic gel,3760115097568,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,
1150,Fleury Michon,01815520,,['Fleury Michon'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,
1151,Château Bieujac la Croisette,3466572000034,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,['France'],,,,,
1152,Mélange 5 baies,3102870057096,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Choco miaou - Maison Guinguet,3760052697531,,['Maison Guinguet'],,['France'],[],,,[],,,,,,,,,,?,,495,,2071 kj(495 kcal),,"34,1",,"19,7",,"37,5",,"20,3",,"5,39",,"0,019",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
1154,Get 27,3011932004339,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,Soupe patate douce courge,8712566303472,,,,['France'],[],,,[],,,,,,,,,,?,,62,,259 kj(62 kcal),,"2,9",,"1,8",,7,,"1,7",,"1,4",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,,,,,
1156,Eau nettoyante - 750ml,3596710368266,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,750 ml,,['Flacon'],,,,,,,,
1157,Gloria Vanderbilt,3357554700014,,['Gloria Vanderbilt'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['Flacon'],,,,,,,,
1158,Liniment oléo-calcaire - 250ml,3596710394111,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,250 ml,,['Bouteille'],,,,,,,,
1159,Frites Allumettes,5410376822765,,,,['France'],[],,,[],,,,,,,,,,?,,171,,715 kj(171 kcal),,6,,"0,7",,25,,1,,"2,7",,"0,08",,"0,032",,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
1160,Miel de Fleurs - Florimel - 1kg,12127627,B,['Florimel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],['miel de fleurs'],,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,1kg,,['pot en verre'],,,,,,,,
1161,Yaourts natures - La Ferme de Béthanie en Cotentin,3760071180038,B,['La Ferme de Béthanie en Cotentin'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts au lait de vache']",['France'],[],,,[],,1.5 g,en faible quantité,1 g,en faible quantité,4 g,en faible quantité,0.1 g,en faible quantité,?,,52,-45%,218 kj(52 kcal),-45%,"1,5",-57%,1,-54%,5,-55%,4,-62%,"4,3",+18%,"0,1",-13%,"0,04",-13%,-2,-179%,A,-179%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,"['FR 50.400.003 CE', 'Picauville (Manche, France)']",,,,,,,,,,,
1162,Hyldeblomst te,5711812185667,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Rajas de jalapeño en escabeche - La Costeña,7501017051335,,['La Costeña'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Pickles d'origine végétale""]","['France', 'Espagne']",[],,,[],,0.6 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.861 g,en quantité modérée,?,,15,-88%,63 kj(15 kcal),-88%,"0,6",-94%,0,-100%,"4,3",+60%,0,-100%,"0,3",-77%,"0,861",-70%,"0,344",-70%,3,-64%,C,-64%,,,,,,,,,,,,,,,,,,,,
1164,Miel suisse - Nectaflor,7610184015641,,['Nectaflor'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,Quatre-quart - Boni,5400141409031,D,['Boni'],"['Biscuits et gâteaux', 'Gâteaux', 'Quatre-quarts']","['Belgique', 'France']","['Cake quatre-quarts Farine de blé', '26,5 % œufs ', 'au sol', 'sucre', '21,5 % beurre pâtissier', 'poudres à lever ', 'E450i', 'E500i', 'sel', 'dextrose', 'conservateur ', 'E202', ""correcteur d'acidité "", 'E330', 'colorant ', 'E160a', 'arôme ', ""contient de l'alcool Contient du gluten"", 'des oeufs et du lait', ' Peut contenir des traces de fruits à coque']","['E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E160a - Carotènes mélangés']","['Œufs', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,24 g,en quantité élevée,15 g,en quantité élevée,29 g,en quantité élevée,1.4 g,en quantité modérée,?,,436,+3%,1824 kj(436 kcal),+2%,24,+5%,15,+23%,48,-2%,29,+3%,6,+4%,"1,4",+37%,"0,56",+37%,27,+19%,E,+19%,83.1%,9.9%,3.4%,1.8%,1.8%,0.0%,50,,,,['Colruyt'],,,,,,,,,
1166,L'authentique Bobosse moyenne,2159350010226,,,,['France'],[],,,[],,,,,,,,,,?,,208,,870 kj(208 kcal),,15,,"6,6",,"0,49",,"0,49",,18,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,
1167,Le vinaigre de cidre - Bouton d'or,3250390644132,B,"[""Bouton d'or""]","['Vinaigres', 'Vinaigres de cidre']",['France'],"['Vinaigre de cidre', 'conservateur: sulfite acide de potassium ', 'E228']","['E228 - Sulfite acide de potassium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,,,,,,,,,,,,,
1168,Confiture de mirabelle - Sabaton - 350,3101740010148,,['Sabaton'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,
1169,Torsade Franboise,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,Gingembre confit - Pronatura,3760099538491,B,['Pronatura'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Snacks', 'Condiments', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Epices', 'Gingembre', 'Fruits confits', 'Gingembre confit']",['France'],"['gingembre confit*', 'sucre de canne', "" Ingrédients issus de l'agriculture biologique""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0 g,en faible quantité,79.3 g,en quantité élevée,0.04 g,en faible quantité,?,,338,-1%,1414 kj(338 kcal),-0%,"0,5",+100%,0,-100%,"80,3",-1%,"79,3",+10%,"3,5",+409%,"0,04",-31%,"0,016",-31%,,,,,61.7%,0.0%,0.0%,28.7%,9.6%,0.0%,97,"['Bio', 'Bio européen', 'Agriculture non UE', 'FR-BIO-01']",,,,,,,['Chine'],,,,,
1171,Orange juice,8714363419318,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",['France'],[],,,[],,0.1 g,en faible quantité,0 g,en faible quantité,7.2 g,en quantité élevée,0.025 g,en faible quantité,?,,32,-26%,134 kj(32 kcal),-26%,"0,1",-40%,0,-100%,"7,5",-23%,"7,2",-21%,"0,4",-36%,"0,025",+193%,"0,01",+193%,0,-100%,B,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Sans additifs'],,,,,,,,,,,,
1172,Babylove,4010355244383,,['Babylove'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,Coeur d'orange - vrac - Belledonne - 3kg,3760109056069,C,['Belledonne'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],[],,,[],,21 g,en quantité élevée,13 g,en quantité élevée,3 g,en faible quantité,0.15 g,en faible quantité,?,,464,-2%,1941 kj(464 kcal),-2%,21,+1%,13,+29%,61,-5%,3,-90%,"4,9",-25%,"0,15",-75%,"0,06",-75%,15,-24%,D,-24%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Bio', 'Biopartenaire']",,3 kg,,,,,,,,,,
1174,Salat -,4311527631551,,,['Salades'],"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,Miel de sapin - Apidis,3263620426613,B,['Apidis'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de sapin']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,
1176,Pâté de campagne à l'ancienne - Auchan,3596710450602,D,['Auchan'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,"['Nutriscore', 'Nutriscore D']",,,['Auchan'],,,,,,,,,
1177,Thon entier à l'huile -,3341430550442,E,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile""]",['France'],[],,,[],,14.2 g,en quantité modérée,0.1 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,?,,231,-3%,967 kj(231 kcal),-3%,"14,2",-11%,"0,1",-96%,0,-100%,0,-100%,"25,8",+11%,1,-3%,"0,4",-3%,1,-78%,B,-78%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,,,,,,,,,,,
1178,Porc demi sel. Demi  Palette de porc,2247686033139,,,,['France'],[],,,[],,,,,,,,,,?,,144,,602 kj(144 kcal),,"8,3",,"3,4",,"0,4",,"0,4",,"16,8",,"3,2",,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,
1179,Galantine de lapin au foie de canard,3513261250031,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Rösti burger - Eismann,4059699090034,,['Eismann'],['de:Rösti burger'],['France'],[],,,[],,11.9 g,en quantité modérée,3.2 g,en quantité modérée,1.5 g,en faible quantité,1.5 g,en quantité modérée,?,,220,,920 kj(220 kcal),,"11,9",,"3,2",,"17,7",,"1,5",,"9,4",,"1,5",,"0,6",,11,,D,,,,,,,,,,,,,,,,,,,,,
1181,Tartelette fruit - Leclerc - 160g,3999991400302,,['Leclerc'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,160g,,,,,,,,,,
1182,Moutarde à l'huile d'olive  coco curry - Le Comptoir de Mathilde,3700961306742,B,['Le Comptoir de Mathilde'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],,,[],,13 g,en quantité modérée,1.1 g,en faible quantité,5.8 g,en quantité modérée,5.05 g,en quantité élevée,?,,185,+9%,774 kj(185 kcal),+9%,13,+20%,"1,1",+34%,12,+74%,"5,8",+50%,7,+7%,"5,05",+7%,"2,02",+7%,14,+21%,D,+21%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,
1183,Al Rabih Pomegranate Molasses,5281003556809,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Houmous,3389090021353,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",['France'],[],,,[],,19 g,en quantité modérée,2.8 g,en quantité modérée,0.5 g,en faible quantité,0.72 g,en quantité modérée,?,,227,-14%,950 kj(227 kcal),-14%,19,-6%,"2,8",+14%,8,-25%,"0,5",-63%,"4,1",-37%,"0,72",-31%,"0,288",-31%,5,+0%,C,+0%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,,,,,
1185,Flan 10/12 part,3276556355698,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Creme de genepi,3217690048213,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Yaourt artisanal bio Nature - Ferme de Busserolles - 500g,3339526110007,B,['Ferme de Busserolles'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts au lait de vache']",['France'],[],,,[],,3.5 g,en quantité modérée,2.5 g,en quantité modérée,3.4 g,en faible quantité,0.13 g,en faible quantité,?,,85,-11%,356 kj(85 kcal),-10%,"3,5",+1%,"2,5",+15%,"3,4",-70%,"3,4",-67%,3,-17%,"0,13",+13%,"0,052",+13%,2,-21%,B,-21%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,['Bio'],"['FR 24.396.002 CE', 'Saint-Cyprien (Dordogne, France)']",500 g,,,,,,,,,,
1188,Balsama Bianco Oro Nobile Leonardi,8033378343327,,,,['France'],[],,,[],,,,,,,,,,?,,199,,833 kj(199 kcal),,0,,0,,47,,47,,"0,31",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1189,Strawberry jam,25321524,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['France'],[],,,[],,0.5 g,en faible quantité,0.2 g,en faible quantité,45 g,en quantité élevée,0.1 g,en faible quantité,?,,247,+14%,1033 kj(247 kcal),+13%,"0,5",+107%,"0,2",+343%,60,+13%,45,-11%,"0,5",+13%,"0,1",+341%,"0,04",+341%,7,-20%,C,-20%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,
