,name,bar_code,brand,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,nova_score,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,packaging,palm_ingredients,ingredients_origins,traceability_code,markets,manufacturing,link,producer_info
963,"Fraises Gariguette, Catégorie 1 - Prim'Albret - 250g",3359920000018,"[""Prim'Albret""]","['Fruits et Légumes de France', 'Catégorie I']",['France'],['Fraises'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,32,134 kj(32 kcal),1,0,7,0,1,,,250 g,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Fraises', 'Fraises fraîches']",1,0 g,en faible quantité,0 g,en faible quantité,,,,+45%,+43%,+116%,-100%,+26%,-100%,+70%,,,94.3%,0.0%,0.0%,3.0%,2.5%,0.1%,60,1 g,en faible quantité,,,,,,,"['Barquette', 'Sachet', 'Plastique']",,['France'],,['Casino'],,,
964,La fraise ronde,3359920000032,,,['France'],[],,[],?,1,4 kj(1 kcal),1,1,6,5,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,"Fraise, Variété Ciflorette, Catégorie 1",3359920000049,,,['France'],[],,[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Tomates Cerises,3359920000056,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Tomate cerise allongee,3359920000117,,,['France'],[],,[],?,20,84 kj(20 kcal),"3,04",1,"3,07","0,84","0,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Ciflorette fraise de france 800g - 800g,3359920002258,,['Label Rouge'],['France'],[],,[],?,0,0 kj(0 kcal),0,0,0,0,0,,,800 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Sauce poivre -,33524023,,,['France'],"['Huile de colza', 'eau', ""vinaigre d'alcool,sucre"", ""jaunes d'oeufs"", 'sel', 'poivre noir de Madagascar ', '2%', ' armagnac', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'amidon modifié', 'colorants: E150c', 'bêta-carotène', ' épaississant:gomme xanthane', 'arome']","['Œufs', 'Moutarde']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,478,2000 kj(478 kcal),"50,3","3,7","5,8","3,6","0,5","2,4","0,96",,B,"['Epicerie', 'Sauces', 'Sauces au poivre']",4,3.7 g,en quantité modérée,3.6 g,en faible quantité,2.4 g,en quantité élevée,,+53%,+56%,+83%,-5%,-34%,+13%,-73%,+3%,+3%,51.5%,31.1%,7.1%,5.2%,3.0%,2.1%,76,50.3 g,en quantité élevée,18,+23%,D,+23%,"['E14XX - Amidons modifiés', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E160ai - Bêta-carotène', 'E415 - Gomme xanthane']",,,,,,,,,
970,Pesto à la genovese,3360077534264,,,['France'],[],,[],?,420,1757 kj(420 kcal),42,"6,2","6,2",2,"3,7","2,5",1,,C,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,6.2 g,en quantité élevée,2 g,en faible quantité,2.5 g,en quantité élevée,,-6%,-6%,-5%,-5%,+5%,-13%,-22%,+1%,+1%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,42 g,en quantité élevée,21,+8%,E,+8%,,,,,,,,,,
971,Bonbons Menthe - Les Anis de Flavigny - 250g,3360100360105,['Les Anis de Flavigny'],['Point Vert'],['France'],"['Sucre', 'arôme naturel de menthe', ""graine d'anis vert""]",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,398,1665 kj(398 kcal),0,0,"99,2","97,1","0,2","3,3","1,32",250 g,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",4,0 g,en faible quantité,97.1 g,en quantité élevée,3.3 g,en quantité élevée,,+12%,+11%,-100%,-100%,+19%,+67%,-91%,+2627%,+2627%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,0 g,en faible quantité,24,+67%,E,+67%,,,"['Sachet', 'Plastique']",,,,"[""Aire d'autoroute""]",['France'],,
972,Anis - Les Anis De Flavigny - 35g,3360100400108,['Les Anis De Flavigny'],,['France'],[],,[],?,?,,?,,?,,?,,,35 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Sac 250 g Réglisse - Les Anis De Flavigny,3360100430105,['Les Anis De Flavigny'],,['France'],[],,[],?,398,1665 kj(398 kcal),0,0,"99,2","97,1","0,2","3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,Anis de Flavigny réglisse - L'abbaye de Flavigny - 90g,3360101580106,"[""L'abbaye de Flavigny""]",,['France'],"['Sucre', 'arôme naturel de réglisse', ""graine d'anis vert""]",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,90g,D,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",4,,,,,,,,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,Bonbons aromatisés,['étui carton'],,,,,"['Flavigny-sur-Ozerain', 'France']",,
975,Sac 500 g Anis Bio - Les Anis De Flavigny,3360101760102,['Les Anis De Flavigny'],['Bio'],['France'],"['Ingrédienb : sucre', ""arôme naturel d'anis étoilé*"", ""graine d'anis vert "", '0,2 %', "" Issu de l'agriculture biologique""]",,[],?,398,1665 kj(398 kcal),0,0,"99,2","97,1","0,2","3,3","1,32",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,"Rosé, les petits anis - Les anis de flavigny - 18g",3360101860109,['Les anis de flavigny'],['Fabriqué en France'],['France'],[],,[],?,?,,?,,?,,?,,,18g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Bonbon à l’anis”Anis de l’Abbaye de Flavigny” - Les Anis de Flavigny,3360102050103,['Les Anis de Flavigny'],,['France'],"['Sucre', 'arôme naturel d’anis étoilé', 'graine d’anis vert', '0,2%']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,398,1665 kj(398 kcal),0,0,"99,2","97,1","0,2",0,0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,"Pommes de terre de consommation - Parmentine - 2,5kilos",3360190017781,['Parmentine'],,['France'],[],,[],?,?,,?,,?,,?,,,"2,5 kilos",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Pommes de terre']",,,,,,,,,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,,,,,,,,,,,,,,,
979,Patates - Parmentine,3360190018979,['Parmentine'],,['France'],[],,[],?,14,59 kj(14 kcal),20,15,65,"0,3",0,"0,2","0,08",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Pommes de terre']",,15 g,en quantité élevée,0.3 g,en faible quantité,0.2 g,en faible quantité,,-86%,-86%,+857%,+4299%,+269%,-45%,-100%,-7%,-7%,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,20 g,en quantité modérée,5,,C,,,,,,,,,,,
980,Chips à la crevette - Agis,3360190019822,['Agis'],,['France'],[],,[],?,530,2218 kj(530 kcal),"30,3",3,"61,8","7,1","2,2","1,95","0,78",,C,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de manioc', 'Chips de manioc à la crevette']",,3 g,en quantité modérée,7.1 g,en quantité modérée,1.95 g,en quantité élevée,,+6%,+6%,+19%,+28%,-4%,-8%,+30%,-2%,-2%,65.0%,16.6%,5.2%,10.9%,2.4%,0.0%,61,30.3 g,en quantité élevée,17,+3%,D,+3%,,,,,,"['EMB 13005C', 'Aubagne (Bouches-du-Rhône, France)']",,,,
981,Pomme de terre special grillade,3360190023539,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 51248', 'Fère-Champenoise (Marne, France)']",,,,
982,Pomme de terre - Carrefour,3360190024512,['Carrefour'],,['France'],[],,[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Pommes de terre']",,1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-99%,-99%,-52%,+193%,-94%,+82%,-51%,+363%,+363%,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,1 g,en faible quantité,-1,,A,,,,,,,,['Carrefour'],,,
983,parmentine cup pomme de terre et qu'il,3360190027612,['Parmentine'],,['France'],[],,[],?,89,372 kj(89 kcal),"0,2",0,"19,1",0,"1,8",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Parmentine's Cup et sa sauce Fromage Blanc Ciboulette - 275g,3360190027629,['Parmentine'],,['France'],"['Pommes de terre', ' Origine France 100 %', ' Sauce fromage blanc ciboulette : huile de colza', 'fromage blanc 0 % ', '20 %', 'eau', 'vinaigre', 'sucre', ""jaune d'œuf"", 'sel', 'moutarde de Dijon ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'antioxydant : disulfite de potassium', 'acidifiant : E330', 'amidons modifiés', 'ciboulette ', '1,5 %', 'jus de citron concentré', 'acidifiant : E270', 'épaississant : E415', 'conservateur : E202', 'poivre']","['Œufs', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",['Non végétalien'],?,360,1506 kj(360 kcal),"37,2",4,"4,7","2,6","1,3",2,"0,8",275 g,,"['Plats préparés', 'Légumes préparés', 'Plats préparés à réchauffer au micro-ondes']",4,4 g,en quantité modérée,2.6 g,en faible quantité,2 g,en quantité élevée,,+300%,+306%,+712%,+459%,-32%,-18%,-37%,+175%,+175%,,,,,,,,37.2 g,en quantité élevée,15,+3717%,D,+3717%,"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,['Plastique'],,['France'],,['Carrefour'],['France'],,
985,Parmentine pomme de terre,3360190031008,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,Pommes de terre spécial vapeur - Parmentine - 2.5kg,3360190031664,['Parmentine'],['en:produced-in-bretagne'],['France'],[],,[],?,?,,?,,?,,?,,,2.5 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Pommes de terre La Gioconde,3360190040062,,,['France'],[],,[],?,200,837 kj(200 kcal),0,0,50,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Pomme de terre - Parmentine,3360190043940,['Parmentine'],,['France'],[],,[],?,3,13 kj(3 kcal),0,0,5,1,2,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,3360190045661,3360190045661,,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 84035', 'Cavaillon (Vaucluse, France)']",,,,
990,Petit Munster Géromé - Maison Husson - 220g,3360290000119,"['Maison Husson', 'Husson']",['AOP'],['France'],"['lait', 'sel', 'présure et ferments lactiques']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,365,1527 kj(365 kcal),26,"16,5","0,5",0,21,"1,8","0,72",220g,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', 'Munsters']",3,16.5 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,,+12%,+12%,-4%,-12%,-17%,-100%,+6%,+1%,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,26 g,en quantité élevée,16,-1%,D,-1%,,,['Frais'],,,,,,,
991,Tartines bio craquantes châtaigne - Le Pain des Fleurs - 150g,3360380037384,['Le Pain des Fleurs'],"['Bio', 'Végétarien', 'en:gluten-free', 'Kascher', 'Végétalien', 'Fabriqué en France', 'Sans sucre ajouté']",['France'],"['Farine de riz', 'farine de châtaigne ', '30 %', 'sel marin']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,384,1607 kj(384 kcal),"1,6","0,4","83,5","9,3","6,5","0,58","0,232",150 g,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']",3,0.4 g,en faible quantité,9.3 g,en quantité modérée,0.58 g,en quantité modérée,,+1%,+0%,-65%,-61%,+18%,+67%,-35%,-34%,-34%,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,1.6 g,en faible quantité,-1,-133%,A,-133%,,Tartines craquantes bio à la châtaigne,['Carton'],,,,,['France'],,
992,Sirop d'agave,3360390441119,,"['Bio', 'Bio européen', 'en:MX-BIO-141']",['France'],[],,[],?,313,1310 kj(313 kcal),0,0,78,69,0,"0,05","0,02",,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]",,0 g,en faible quantité,69 g,en quantité élevée,0.05 g,en faible quantité,,+1%,+1%,-100%,-100%,+1%,-6%,-100%,+2%,+2%,,,,,,,,0 g,en faible quantité,13,+1%,D,+1%,,,,,,,,,,
993,Epoisses Aop Affine - Gaugry - 250g,3360410000241,['Gaugry'],['Entrepreneurs + Engagés'],['France'],"['milki salt', ' Ferments', 'renj?t', ' Buf glundy inarc ', 'traces', ' s nutritionnelles poulU', ""urchU'hnittiiche NahÏNfi Average nutritjorjal values for: 100g e/Energy: 1220KJ/293Kcai "", 'vlatièles grasses/Fett/Fat24 ras saturés/Davon gesatligle Fettsauren/Of which satura cides/Kohlenhydrate/CarbchydratesQ dont ', ""f which sugars'0g"", ' Protéjnesifiiv/?$i 7gSel/Sa12 conserver entre/KCllnl lagorrg bei/Keep ?frigerated:+2/+80 onsommer de préférence avant le/ Poids net/Nettogewi<']",,[],?,293,1226 kj(293 kcal),24,17,"2,4",0,17,"2,2","0,88",250 g,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', 'Époisses']",,17 g,en quantité élevée,0 g,en faible quantité,2.2 g,en quantité élevée,,+2%,+2%,+1%,+1%,+206%,-100%,0%,+20%,+20%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,24 g,en quantité élevée,17,+12%,D,+12%,,,,,,,,,,
994,Saint Vincent (25% MG) - Fromagerie Gaugry - 150g,3360410000364,['Fromagerie Gaugry'],,['France'],"['Lait pasteurisé', 'sel', ""ferments lactiques et d'affinage"", 'présure', 'marc de Bourgogne']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1206,?,1206 kj(288 kcal),25,18,"1,9",0,16,"2,23","0,892",150 g,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages pasteurisés', 'Fromages à pâte molle à croûte lavée']",3,18 g,en quantité élevée,0 g,en faible quantité,2.23 g,en quantité élevée,-6%,,-4%,+2%,+8%,+245%,-100%,-19%,+39%,+39%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,25 g,en quantité élevée,17,+15%,D,+15%,,,"['Carton', 'Plastique']",,,"['FR 21.110.001 CE', ""Brochon (Côte-d'Or, France)""]",,['France'],,
995,Fondu d'epoisses,3360410000647,,,['France'],[],,[],?,233,975 kj(233 kcal),"19,5","14,5","2,95",0,12,2,"0,8",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', 'Époisses']",,14.5 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,,-19%,-19%,-18%,-14%,+276%,-100%,-29%,+9%,+9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,19.5 g,en quantité modérée,15,-1%,D,-1%,,,,,,,,,,
996,Le Saint-Vincent (23% MG) - 200 g - Fromagerie Gaugry,3360410000975,['Fromagerie Gaugry'],"['Point Vert', 'Eco-Emballages']",['France'],"['lait', 'sel', 'présure', ""ferments lactiques et d'affinage"", 'marc de bourgogne\r# 23 % de mat', ' gr', ' dans le produit fini']",['Lait'],['Non végétalien'],?,?,,23,,?,,?,,,200 g,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru']",3,,,,,,,,,,-16%,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,23 g,en quantité élevée,,,,,,"Fromage de France, à pâte molle, au lait cru de vache, affiné au marc de Bourgogne","['Papier', 'Boîte', 'Bois', 'Frais']",,,"['FR 21.110.001 CE', ""Brochon (Côte-d'Or, France)""]",['Carrefour'],"['Fromagerie Gaugry', '21220 Brochon', ""Côte-d'Or"", 'Bourgogne', 'France']",,
997,Ace,3360440101703,,,['France'],[],,[],?,43,180 kj(43 kcal),0,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Pruneaux d'Agen Délices,3360560001778,['Delices'],,['France'],[],,[],?,234,979 kj(234 kcal),"0,3","0,08",54,35,2,"0,1","0,04",,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",,0.08 g,en faible quantité,35 g,en quantité élevée,0.1 g,en faible quantité,,-3%,-3%,-17%,-30%,+1%,-4%,+7%,+625%,+625%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,0.3 g,en faible quantité,3,+37%,C,+37%,,,,,,,,,,
999,Pruneaux dénoyautées,3360562056325,,,['France'],[],,[],?,234,979 kj(234 kcal),"0,5","0,1",54,35,2,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Pruneaux dénoyautées,3360562056325,,,['France'],[],,[],?,234,979 kj(234 kcal),"0,5","0,1",54,35,2,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Pruneaux d'Agen dénoyautés,3360562076125,,,['France'],[],,[],?,234,979 kj(234 kcal),"0,3","0,08",54,35,2,0,0,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",,0.08 g,en faible quantité,35 g,en quantité élevée,0 g,en faible quantité,,-3%,-3%,-17%,-30%,+1%,-4%,+7%,-100%,-100%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,0.3 g,en faible quantité,3,+37%,C,+37%,,,,,,,,,,
1002,Abricots Moelleux - Sans marque - 600g,3360563026341,['Sans marque'],['Contient des sulfites'],['France'],"['Abricots secs', 'conservateurs : E220']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,213,891 kj(213 kcal),?,"0,5",?,48,"1,9","0,01","0,004",600 g,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs', 'Aliments à base de plantes séchés']",3,0.5 g,en faible quantité,48 g,en quantité élevée,0.01 g,en faible quantité,,-35%,-34%,,-60%,,+29%,-66%,-95%,-95%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",Abricots secs réhydratés à 38%,"['Sachet', 'Plastique']",,['Turquie'],,,,,
1003,Abricots moelleux,3360563036326,,,['France'],[],,[],?,213,891 kj(213 kcal),"0,4","0,1",48,30,"1,9","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,Mélange multi-wasabi - Sans marque - 250g,3360563066330,['Sans marque'],,['France'],"['cacahuètes', 'farine de blé', 'amidon de maïs', 'farine de maïs', 'sucre', 'huile de palme', 'dextrine', 'sel', 'levure', 'protéine de soja', 'mélange d’épices', 'tomate', 'acidifiant ', 'E330', 'huile de citron', 'agent anti-agglomeration ', 'E551', 'antioxydant ', 'extrait de romarin', 'amidon de pomme de terre', 'agent levant ', 'E500', 'colorants ', 'E140', 'E100', 'E160c', 'E163', 'E120', 'E150a']","['Gluten', 'Arachides', 'Soja']","['Huile de palme', 'Non végétalien', 'Non végétarien']",1922,?,1922 kj(459 kcal),20,"4,5",56,20,"1,1","0,89","0,356",250 g,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E1400 - Dextrines', 'E330 - Acide citrique', 'E551 - Dioxyde de silicium', 'E392 - Extrait de romarin', 'E500 - Carbonates de sodium', 'E140 - Chlorophylles et Chlorophyllines', 'E100 - Curcumine', 'E160c - Extrait de paprika', 'E163 - Anthocyanes', 'E120 - Acide carminique', 'E150a - Caramel E150a']",,['Sachet plastique'],['Huile de palme'],['Chine'],,['Carrefour Market'],"['Pruneaux de Menet', '47300', 'Villeneuve sur Lot', 'France']",,
1005,Raisins secs Sultanine - 500g,3360563306320,,,['France'],[],,[],?,326,1364 kj(326 kcal),"0,5","0,1",79,59,"3,1","0,03","0,012",500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Mélange Peps,3360563346333,,,['France'],[],,[],?,363,1519 kj(363 kcal),"9,7","0,7",58,52,"7,3","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Melange peps,3360563349105,,,['France'],[],,[],?,363,1519 kj(363 kcal),"9,7","0,7",58,52,"7,3","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Mélange exotique,3360564096381,,,['France'],[],,[],?,395,1653 kj(395 kcal),11,"9,6",73,53,"2,3","0,26","0,104",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs']",,9.6 g,en quantité élevée,53 g,en quantité élevée,0.26 g,en faible quantité,,-11%,-10%,-47%,+86%,+47%,+34%,-75%,+111%,+111%,,,,,,,,11 g,en quantité modérée,18,+136%,D,+136%,,,,,,,,,,
1009,Amande caramelisé au miel - Provenc Hal,3360568021105,['Provenc Hal'],,['France'],[],,[],?,527,2205 kj(527 kcal),31,"2,6",49,47,10,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Noix de cajou caramélisées à la vanille,3360568051102,,,['France'],[],,[],?,511,2138 kj(511 kcal),26,5,56,49,12,"0,82","0,328",,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,5 g,en quantité modérée,49 g,en quantité élevée,0.82 g,en quantité modérée,,-15%,-14%,-44%,-41%,+119%,+655%,-36%,+31%,+31%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,26 g,en quantité élevée,13,+72%,D,+72%,,,,,,,,,,
1011,Cacahuetes caramelisees,3360568091108,,,['France'],[],,[],?,508,2125 kj(508 kcal),27,"5,1",50,48,14,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Cacahuètes caramélisées au miel,3360568101104,,,['France'],[],,[],?,508,2125 kj(508 kcal),27,"5,1",50,48,14,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Cacahuètes au citron,3360568111103,,,['France'],[],,[],?,508,2125 kj(508 kcal),27,"5,1",50,48,14,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Cacahuètes caramélisées au sésame - Pruneaux De Menet,3360568121102,['Pruneaux De Menet'],,['France'],[],,[],?,544,2276 kj(544 kcal),33,6,41,39,18,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Cacahuètes caramélisées à la fraise -,3360568131101,,,['France'],"['Ingrédients: arachides de Chine 65%', 'sucre 35%', 'arôme fraise', 'colorant: E122', "" Peut avoir des effets indésirables sur l'activité et l'attention chez les enfants""]",,[],?,508,2125 kj(508 kcal),27,"5,1",50,48,14,"1,2","0,48",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E122 - Azorubine carmoisine'],,,,,,,,,
1016,Cacahuète caramélisées à la vanille,3360568141100,,,['France'],[],,[],?,508,2125 kj(508 kcal),27,5,50,48,14,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Masson Petit Reblochon 240g,3360950000084,,,['France'],[],,[],?,338,1414 kj(338 kcal),28,22,"0,5","0,5",21,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
