,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,traceability_code,ingredients_origins,packaging,markets,additives,allergens,nova_score,generic_name,link,manufacturing,brand_owner,palm_ingredients
971,cassonade pure canne - navarre - 750g,78772281,B,"['Édulcorants', 'Sucres', 'Sucres en poudre']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,['Navarre'],750g,['L8E7290 3'],,['Sachet'],['Lidl'],,,,,,['Inconnie'],,
972,3298020191328,3298020191328,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Wang Original Kaya - Foodcare,8886356240077,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']",['France'],[],[],12.4 g,en quantité modérée,10.3 g,en quantité élevée,46.5 g,en quantité élevée,0.5 g,en quantité modérée,?,,325,-38%,1360 kj(325 kcal),-38%,"12,4",-61%,"10,3",+27%,"49,2",-2%,"46,5",+6%,"4,2",-32%,"0,5",+175%,"0,2",+175%,26,+27%,E,+27%,,,,,,,,"['Halal', '100% naturel', 'Sans colorants artificiels', 'Sans arômes ajoutés', 'Sans conservateurs']",['Foodcare'],,,,"['Bocal', 'Verre', 'métal']",,,"['Œufs', 'Lait']",,Pâte de Coco - Wang Original Kaya,,,,
974,Escalope porc - Cochon Paysan - 260g,3497720367884,,"['Viandes', 'Porc']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['IGP', 'Label Rouge']",['Cochon Paysan'],260 g,"['FR 87.085.006 CE', 'Limoges (Haute-Vienne, France)']",['France'],['Plastique'],,,,,,,,,
975,Tartare de cabillaud fume Tomate basilic bio,3324030014811,,,['France'],[],[],,,,,,,,,?,,229,,958 kj(229 kcal),,"17,3",,"2,8",,"4,7",,4,,"13,9",,"2,1",,"0,84",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-09', 'Pêche durable', 'Pêche durable MSC']",,,['MSC-C-53427'],,,,,,,,,,,
976,Crepes,3770001679044,,,['France'],[],[],,,,,,,,,?,,160,,669 kj(160 kcal),,"1,8",,"0,224",,"31,4",,"0,5",,6,,"1,61",,"0,644",,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Palet breton,3483830700772,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",['France'],[],[],29 g,en quantité élevée,18 g,en quantité élevée,23 g,en quantité élevée,0.72 g,en quantité modérée,?,,523,+5%,2188 kj(523 kcal),+5%,29,+14%,18,+10%,59,-2%,23,-11%,"5,6",-5%,"0,72",-18%,"0,288",-18%,24,-0%,E,-0%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,,,,
978,Starbucks Guatemala Antigua Cocoa & Subtle Spice - 250g,0762111006769,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Starbucks'],250g,,,"['sachet refermable', 'Plastic']",['Starbuck'],,,,,,,,
979,Rice & corn chips BBQ - Bosto,5410106095742,,,['France'],[],[],,,,,,,,,?,,395,,1653 kj(395 kcal),,"9,6",,"1,1",,"69,3",,"5,2",,"6,5",,"1,5",,"0,6",,,,,,,,,,,,,,['Bosto'],,,,,,,,,,,,,
980,01196942,01196942,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Paleta de porco iberico bolota,5601998101578,,,['France'],[],[],,,,,,,,,?,,375,,1569 kj(375 kcal),,29,,11,,"4,1",,"0,6",,28,,"5,12",,"2,048",,,,,,,,,,,,,,,,,,,,,,,,,,,
982,"Cantuccini Classici , La Mattonella -  - 250g",8028700000016,,,['France'],"['farine de blé', 'sucre', 'amandes 20%', 'œufs', 'pignons']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,428,,1791 kj(428 kcal),,12,,1,,66,,36,,12,,"0,01",,"0,004",,,,,,,,,,,,,,,250g,,,,,,"['Œufs', 'Gluten', 'Fruits à coque']",,,,,,
983,Arôme Vanille - Elodie,3250390149460,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Elodie'],,,,,,,,,,,,,
984,BCAA AMINO,9010128007769,,,['France'],[],[],,,,,,,,,?,,262,,1096 kj(262 kcal),,0,,0,,"3,9",,0,,52,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,
985,3464680602003,3464680602003,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,2 faux filets,2451590019749,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Palitos glacé et fruité,3770006482120,,,['France'],[],[],,,,,,,,,?,,101,,423 kj(101 kcal),,"0,2",,"0,2",,"26,5",,"24,3",,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Pâtes à la châtaigne - 400g,3770003264354,,,['France'],[],[],,,,,,,,,?,,357,,1494 kj(357 kcal),,"2,6",,"0,5",,"76,1",,"9,9",,11,,"0,07",,"0,028",,,,,,,,,,,,,,,400 g,,,,,,,,,,,,
989,Découpe de poulet fermier,2481622029125,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,Jus de pamplemousse - Maison Meneau - 75cl,3274490970885,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pamplemousse', 'Jus de fruits pur jus', 'en:pure-grapefruit-juice']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,48,+23%,201 kj(48 kcal),+23%,0,-100%,0,-100%,"11,3",+30%,0,-100%,0,-100%,0,-100%,0,-100%,-3,-262%,B,-262%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Maison Meneau'],75 cl,,,,,,,,,,,,
991,Confiture De Crème De Marrons Avec Morceaux,0697893360177,,,['France'],[],[],,,,,,,,,?,,288,,1205 kj(288 kcal),,"0,8",,"0,2",,68,,55,,"1,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,Noisettes décortiquées crues,3700056708116,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes', 'Fruits à coques décortiqués', 'Noisettes décortiquées', 'en:raw-hazelnuts', 'en:shelled-raw-hazelnuts']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,,,,,,,,,,,,,,,
993,3453521220407,3453521220407,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,Jambon cuit - Selection,0059749950336,,,['France'],[],[],,,,,,,,,?,,100,,418 kj(100 kcal),,3,,0,,2,,0,,16,,"0,66",,"0,264",,,,,,,,,,,,,,['Selection'],,,,,,,,,,,,,
995,"Les Voiles Vin rose 13,00% vol 2010",3334865053435,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,Kokosöl,4031192182218,,,['France'],[],[],,,,,,,,,?,,900,,3766 kj(900 kcal),,100,,93,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,Walkers-highland Sheep Tin-8.8oz,0039047015630,,,['France'],[],[],,,,,,,,,?,,529,,2213 kj(529 kcal),,30,,"18,7",,"58,2",,"16,5",,"5,6",,"0,68",,"0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Lentilles corail,0925269067673,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles décortiquées', 'Lentilles rouges', 'Lentilles corail']",['France'],[],[],0.6 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.05 g,en faible quantité,?,,172,-49%,720 kj(172 kcal),-49%,"0,6",-63%,"0,1",-59%,"27,4",-43%,"0,5",-72%,"11,5",-54%,"0,05",+76%,"0,02",+76%,-3,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,,,,,,,,,,
999,Friand crème - Géant casino - 1,0262036019351,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Géant casino'],1,,,,,,,,,,,,
1000,"Rosette - 0,552kg",0210016027094,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']",['France'],[],[],37 g,en quantité élevée,15 g,en quantité élevée,3.1 g,en faible quantité,4.1 g,en quantité élevée,?,,435,+19%,1820 kj(435 kcal),+19%,37,+29%,15,+32%,"3,5",+80%,"3,1",+114%,22,-14%,"4,1",-9%,"1,64",-9%,25,+6%,E,+6%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,"0,552 kg",,,,,,,,,,,,
1001,Filet de cabillaud fume -,3324030012299,E,"['Produits de la mer', 'Poissons', 'Morues', 'Poissons fumés']",['France'],[],[],0.5 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,2.5 g,en quantité élevée,?,,69,-71%,289 kj(69 kcal),-70%,"0,5",-97%,"0,3",-89%,"0,1",-97%,0,-100%,"17,3",+42%,"2,5",+193%,1,+193%,5,+2%,C,+2%,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,"['Pêche durable', 'Pêche durable MSC']",,,['MSC-C-53427'],,,,,,,,,,,
1002,Graines de chia,3520831664648,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,
1003,100% Fruits Bio,9506000046242,,,['France'],[],[],,,,,,,,,?,,56,,234 kj(56 kcal),,"0,14",,"0,14",,"12,2",,"11,55",,"0,41",,"0,01",,"0,004",,,,,,,,,,,,,"['Bio', 'Sans conservateurs']",,,,,,,,,,,,,,
1004,Dried Mangoes & Pineapple Mix - 7D - 80g,4809010272270,,,"['France', 'Singapour']","['INGREDIENTS: Premium Mangoes', 'Premium Pineapple ', '50:50', 'Cane Sugar', 'Sodium Metabisulfite ', 'Preservative', "" and Confectioner's Sugar""]",[],,,,,,,,,?,,333,,1400 kj(333 kcal),,0,,0,,?,,"73,8",,?,,"0,014",,"0,006",,,,,,,,,,,,,,['7D'],80g,,,,,"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']",,,,,['Philippines'],,
1005,4 Gaufres,0201331019352,,,['France'],[],[],,,,,,,,,?,,382,,1598 kj(382 kcal),,27,,"2,2",,25,,"2,6",,"8,2",,"0,86",,"0,344",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,
1006,Multi fruits,3324700004951,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Poulet bio - Maître Coq,0215212104495,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],['Maître Coq'],,,,,,,,,,,,,
1008,Tegolette alla nocciola biscuits,8002963230557,,,['France'],[],[],,,,,,,,,?,,528,,2209 kj(528 kcal),,"30,4",,"12,3",,"55,5",,"27,4",,"7,4",,"0,006",,"0,002",,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,
1009,3554220000052,3554220000052,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Coriandre Poudre,3760022906137,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,['Flacon'],,,,,,,,,
1011,Crunch salted caramel,5060424705351,,,['France'],[],[],,,,,,,,,?,,374,,1565 kj(374 kcal),,16,,"9,5",,38,,"3,6",,31,,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Panela - Distribuidora latinoandina,8436555740801,B,"['Édulcorants', 'Sucres', 'Sucres roux', 'Sucres de canne', 'Panela']","['France', 'Espagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.6%,0.0%,7.4%,3.3%,1.8%,0.0%,81,,['Distribuidora latinoandina'],,,,,,,,,,,,,
1013,Risotto du potager - Légendes Gourmandes,3760155982534,,,['France'],[],[],,,,,,,,,?,,337,,1410 kj(337 kcal),,"0,7",,"0,1",,72,,6,,"8,2",,"0,01",,"0,004",,,,,,,,,,,,,,['Légendes Gourmandes'],,,,,,,,,,,,,
1014,bouton or sauce crudités - intermarché - 1,3250390888789,D,"['Epicerie', 'Sauces', 'Sauces crudités']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,['intermarché'],1,,,,['Intermarché'],,,,,,,,
1015,Handmade all butter tablet,00142458,,,['France'],[],[],,,,,,,,,?,,444,,1858 kj(444 kcal),,"11,6",,"7,3",,"83,6",,"73,9",,"1,1",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Infusion vègètale,8907392002556,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,6 Kouign Amann Pur Beurre - Crêperie Colas - 210g,3413900002413,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Kouign-amann']",['France'],"['Farine de froment ', 'GLUTEN', 'Sucre', 'beurre ', 'LAIT', 'eau', 'levure', 'sel de Guérande']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",27.8 g,en quantité élevée,19.5 g,en quantité élevée,18.1 g,en quantité élevée,0.9 g,en quantité modérée,?,,456,+2%,1908 kj(456 kcal),+1%,"27,8",+10%,"19,5",+18%,"48,2",-8%,"18,1",-33%,"4,3",+8%,"0,9",+12%,"0,36",+12%,22,-5%,E,-5%,54.8%,27.3%,8.8%,4.6%,4.6%,0.0%,88,['en:produced-in-bretagne'],['Crêperie Colas'],210 g,"['FR 35.069.015 CE', 'Châteaugiron (Ille-et-Vilaine, France)']",,['Plastique'],,,"['Gluten', 'Lait']",4,6 Kouign Amann Pur Beurre,,"['France', 'Bretagne']",,
1018,Salchichon extra chiffonade,8436018995496,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,0207592019025,0207592019025,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,Demi lapin découpé,2427269030636,D,"['Viandes', 'Viande de lapin']",['France'],[],[],6.3 g,en quantité modérée,1.9 g,en quantité modérée,0.2 g,en faible quantité,0.15 g,en faible quantité,?,,139,-10%,582 kj(139 kcal),-12%,"6,3",-20%,"1,9",-20%,"0,6",-14%,"0,2",-53%,20,+2%,"0,15",-70%,"0,06",-70%,-3,-592%,A,-592%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,['Bleu Blanc Cœur'],,,,,,,,,,,,,,
1021,Madeira Minigums,8435055003294,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Chipolatas nature -,3700337100073,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],"['Viande de porc', 'eau', 'sel', 'épices', 'ail', 'arômes naturels', 'dextrose', 'rouge de betterave', 'plantes arômatiques', 'boyau de mouton']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",23 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,1085,+5%,262,+10%,1085 kj(262 kcal),+8%,23,+22%,10,+39%,"0,5",-57%,"0,5",-21%,15,-3%,2,+11%,"0,8",+11%,20,+20%,E,+20%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,['E162 - Rouge de betterave'],,4,,,,,
1023,Rozen,3760035036074,,,['France'],[],[],,,,,,,,,?,,500,,2092 kj(500 kcal),,6,,5,,"0,8",,"0,5",,70,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,00208284,00208284,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Cashews roasted salted - Waitrose,01031058,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",['France'],[],[],49.2 g,en quantité élevée,8.9 g,en quantité élevée,6.9 g,en quantité modérée,0.79 g,en quantité modérée,?,,605,+1%,2531 kj(605 kcal),+1%,"49,2",+7%,"8,9",+5%,"16,8",-34%,"6,9",+6%,"18,8",+1%,"0,79",+26%,"0,316",+26%,9,+19%,C,+19%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,['Waitrose'],,,,,,,,,,,,,
1026,18871173,18871173,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Pik-nik Cheese Balls,0074923302497,,,['France'],[],[],,,,,,,,,?,,571,,2389 kj(571 kcal),,"37,5",,"14,3",,"57,1",,"10,7",,"7,1",,0,,0,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,
1028,Saucisse de toulouse aux ognons,3497800200469,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",['France'],[],[],17 g,en quantité modérée,6.9 g,en quantité élevée,1.2 g,en faible quantité,1.9 g,en quantité élevée,?,,944,+333%,3950 kj(944 kcal),+330%,17,+4%,"6,9",+8%,"2,8",+68%,"1,2",+95%,16,+7%,"1,9",+10%,"0,76",+10%,24,+59%,E,+59%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,['Sans colorants'],,,"['FR 16.015.015 CE', 'Angoulême (Charente, France)']",,,,,,,,,,,
1029,Beignet pomme -,0205631012792,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",['France'],[],['Sans huile de palme'],8.7 g,en quantité modérée,1.2 g,en faible quantité,12 g,en quantité modérée,0.69 g,en quantité modérée,?,,282,-21%,1180 kj(282 kcal),-21%,"8,7",-45%,"1,2",-65%,41,-9%,12,-26%,"6,107",-4%,"0,69",-6%,"0,276",-6%,6,-50%,C,-50%,,,,,,,,['en:palm-oil-free'],,,,,,,,,,Beignets fourrés à la purée de pomme,,,,
1030,Croutons ail,3760019913995,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",['France'],[],[],30 g,en quantité élevée,2.6 g,en quantité modérée,3.8 g,en faible quantité,2.13 g,en quantité élevée,?,,528,+12%,2209 kj(528 kcal),+12%,30,+46%,"2,6",-14%,55,-6%,"3,8",+3%,"7,8",-17%,"2,13",+9%,"0,852",+9%,17,+16%,D,+16%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,,"['EMB 86137', 'Loudun (Vienne, France)']",,,,,,,,,,,
1031,Spécialité de pruneau - Grand Frais - 536gr,2609922024279,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Grand Frais'],536gr,,,['barquette plastique'],['Grandfrais'],,,,,,['sur place'],,
1032,Guimauve,2001085109105,,,['France'],[],[],,,,,,,,,?,,330,,1381 kj(330 kcal),,"0,39",,"0,39",,"77,6",,71,,"4,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Soupe de poissons - La Sablaise,3375160444696,E,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,0.7 g,en faible quantité,0.68 g,en quantité modérée,?,,36,-25%,151 kj(36 kcal),-24%,"0,5",-74%,"0,1",-78%,"2,5",+37%,"0,7",+8%,"5,7",+10%,"0,68",-23%,"0,272",-23%,0,-100%,B,-100%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,"['Sans colorants', 'Sans conservateurs']",['La Sablaise'],,,,,,,,,,,,,
1034,Thai Fragrant Rice,5016805002472,,,['France'],[],[],,,,,,,,,?,,348,,1456 kj(348 kcal),,"0,9",,"0,4",,"76,4",,"0,1",,"7,3",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Spécialité de pruno,2609922025061,,,['France'],[],[],,,,,,,,,?,,250,,1046 kj(250 kcal),,"0,5",,"0,5",,55,,0,,"1,4",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,Football Munch,4018077353611,,,['France'],[],[],,,,,,,,,?,,498,,2084 kj(498 kcal),,25,,"1,8",,62,,"6,8",,"5,3",,"3,3",,"1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Boudin noir aux oignons,3300410001145,D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudins noirs aux oignons', 'Boudin noir sauté']",['France'],[],[],31 g,en quantité élevée,12 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,?,,342,+34%,1431 kj(342 kcal),+35%,31,+44%,12,+44%,"1,6",-47%,"0,9",-55%,13,+12%,"1,3",-2%,"0,52",-2%,19,+21%,E,+21%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,,,,
1038,Maíz Frito,8420335826205,,,['France'],[],[],,,,,,,,,?,,438,,1833 kj(438 kcal),,"9,8",,"3,9",,"9,2",,5,,"8,5",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,BANANITO CHOCOLATE ALMOND - Mightee bee - 25g,,,"['Snacks', 'Snacks sucrés']",['France'],"['Banane séchée au soleil 70%', 'Chocolat noir 20%', 'Amandes 10%']",[],8.4 g,en quantité modérée,4.8 g,en quantité modérée,51.2 g,en quantité élevée,0 g,en faible quantité,?,,344,-23%,1440 kj(344 kcal),-23%,"8,4",-59%,"4,8",-52%,"68,4",+19%,"51,2",+44%,"2,8",-53%,0,-100%,0,-100%,13,-32%,D,-32%,,,,,,,,,['Mightee bee'],25 g,,,['Plastique'],,,['Fruits à coque'],3,Snack contenant de la banane enrobée au chocolat/amande,,,,
1040,Biscuit au fromage de Brebis,3760124280326,,,['France'],[],[],,,,,,,,,?,,515,,2155 kj(515 kcal),,27,,"17,4",,"54,3",,"12,6",,"13,7",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,3760184322974,3760184322974,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Boudin noir oignons,2238071014376,D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudins noirs aux oignons', 'Boudin noir sauté']",['France'],[],[],21 g,en quantité élevée,8.1 g,en quantité élevée,2.05 g,en faible quantité,1.3 g,en quantité modérée,?,,245,-4%,1025 kj(245 kcal),-3%,21,-3%,"8,1",-3%,"2,4",-21%,"2,05",+1%,11,-5%,"1,3",-2%,"0,52",-2%,16,+2%,D,+2%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,['Sans colorants'],,,"['FR 28.027.005 CE', 'Bazoche-Gouet (Eure-et-Loir, France)']",,,,,,,,,,,
1043,PETIT EPEAUTRE,3380380077173,,,['France'],[],[],,,,,,,,,?,,346,,1448 kj(346 kcal),,"3,2",,"0,5",,63,,3,,"11,1",,"0,12",,"0,048",,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,
1044,ginseng coffe - Nespresso - 10,7640158910184,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Nespresso'],10,,,,,,,,,,,,
1045,Gâteau de Lune aux 5 Amandes -,3364691366447,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux aux amandes']",['France'],"['Sucre', 'amandes 11,3 %', 'courge', 'pépins de pastèque 10 % ', 'farine de blé tendre', 'noix 9', '4 %', 'huile de colza', 'sésame 8,1 %', 'eau', 'orange sucrée', ""amandes de noyaux d'olive 1,9 %"", 'sel', ""correcteur d'acidité "", 'E5000', ' conservateur ', 'E202']",[],18.8 g,en quantité modérée,1.5 g,en quantité modérée,29.3 g,en quantité élevée,0.17 g,en faible quantité,?,,434,-1%,1816 kj(434 kcal),-1%,"18,8",-18%,"1,5",-81%,"58,5",+26%,"29,3",-0%,"7,5",-8%,"0,17",-44%,"0,068",-44%,12,-33%,D,-33%,,,,,,,,,,,,,['Plastique'],,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Fruits à coque', 'Graines de sésame']",3,Gâteau de Lune aux 5 Amandes,,,,
1046,Passata di pomodoro,8019931141005,,['it:Passata di pomodoro'],['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,3 g,en faible quantité,0.5 g,en quantité modérée,?,,22,,92 kj(22 kcal),,"0,2",,0,,3,,3,,"1,3",,"0,5",,"0,2",,2,,B,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,,,,,,
