,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,traceability_code,link,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,manufacturing,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,palm_ingredients,brand_owner,origin_detail,producer_info
32,Salt and pepper - Pringles - 175g,5053990150557,B,175 g,['Cylindre en carton'],['Pringles'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Tuiles salées']",,,,,['Cora'],"['France', 'Suisse']","['Pommes de terre déshydratées', 'huiles végétales ', 'tournesol', 'maïs', 'farine de riz', 'amidon de blé', 'farine de maïs', 'assaisonnement sel et poivre ', 'biscotte en poudre ', 'blé', 'exhausteurs de goût ', 'glutamate monosodique', 'guanylate disodique', 'sel', 'lactosérum doux en poudre ', 'lait', 'huile de tournesol partiellement hydrogénée', 'arômes', 'extrait de levure', 'poivre', 'sucre', 'lactose ', 'lait', 'protéines de lait', 'émulsifiant E471 ', 'maltodextrine', 'sel', 'colorant ', 'rocou', '  E471 ']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,,511,+0%,32,+8%,50,-10%,"4,4",-0%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160b - Rocou']",4,2138 kj(511 kcal),"3,1","2,2",2,"0,8",,"['Gluten', 'Lait']",32 g,en quantité élevée,3.1 g,en quantité modérée,2.2 g,en faible quantité,2 g,en quantité élevée,+0%,-8%,-37%,+33%,+33%,17,+27%,D,+27%,,,,,
33,Muesly de avena y almendras con un toque de caramelo - Hero,8410175069900,B,,,['Hero'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",,,,,,['France'],[],[],?,,436,+5%,"18,5",+41%,"56,4",-7%,"8,2",-17%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,1824 kj(436 kcal),"10,9",23,"0,34","0,136",,,18.5 g,en quantité modérée,10.9 g,en quantité élevée,23 g,en quantité élevée,0.34 g,en quantité modérée,+5%,+228%,+36%,+95%,+95%,21,+327%,E,+327%,,,,,
34,Jaffa Cakes - McVitie's,5000168211510,D,,['card-box'],"[""McVitie's""]","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,,"['France', 'Royaume-Uni']","['Glucose-Fructose Syrup', 'Plain Chocolate ', '19%', ' [Sugar', 'Cocoa Mass', 'Vegetable Fats ', 'Palm', 'Shea', 'Butter Oil ', 'Milk', 'Cocoa Butter', 'Emulsifiers ', 'Soya Lecithin', 'E476', 'Natural Flavouring]', 'Sugar', 'Flour ', 'Wheat Flour', 'Calcium', 'Iron', 'Niacin', 'Thiamin', 'Whole Egg', 'Water', 'Dextrose', 'Concentrated Orange Juice ', '8% Orange Juice Equivalent', 'Glucose Syrup', 'Vegetable Oils ', 'Sunflower', 'Palm', 'Humectant ', 'Glycerine', 'Gelling Agent ', 'Pectin', 'Acid ', 'Citric Acid', 'Raising Agents ', 'Ammonium Bicarbonate', 'Disodium Diphosphate', 'Sodium Bicarbonate', 'Dried Whole Egg', 'Acidity Regulator ', 'Sodium Citrates', 'Natural Orange Flavouring', 'Colour ', 'Curcumin', 'Emulsifier ', 'Soya Lecithin', ' For allergens', 'including cereals containing gluten', 'see ingredients in bold']","['Huile de palme', 'Non végétalien']",?,,379,-20%,"7,9",-62%,"70,9",+11%,"4,9",-25%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E422 - Glycérol', 'E440 - Pectines', 'E330 - Acide citrique', ""E503ii - Carbonate acide d'ammonium"", 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E331 - Citrates de sodium', 'E100 - Curcumine']",4,1586 kj(379 kcal),4,"52,6","0,25","0,1",,"['Œufs', 'Gluten', 'Lait', 'Soja']",7.9 g,en quantité modérée,4 g,en quantité modérée,52.6 g,en quantité élevée,0.25 g,en faible quantité,-20%,-60%,+78%,-58%,-58%,18,-9%,D,-9%,,,,,
35,Focus,9120077850221,,,,,,,,,,,['France'],[],[],?,,1,,0,,0,,0,,,,,,,,,,,4 kj(1 kcal),0,0,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,
36,Pagnottelle classiche - Mulino Bianco,8076809519359,,,,['Mulino Bianco'],,,,,,,"['France', 'Italie']",[],[],?,,297,,"5,8",,"49,5",,1,,,,,,,,,,,1243 kj(297 kcal),"1,5",6,"1,275","0,51",,,,,,,,,,,,,,,,,,,,,,,,
37,Almond and Java Vanilla,5900130030968,,,,,,"['en:gluten-free', 'Agriculture durable', 'en:UTZ Certified']",,,,,['France'],[],[],?,,371,,23,,35,,"5,5",,,,,,,,,,,1552 kj(371 kcal),13,29,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,
38,Olio Cuore - 1l,8001840450064,,1 l,['Buatta'],,,,,,,,"['France', 'Italie', 'Suisse']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Curry de poulet aux lentilles cuisinees - Weight Watchers,3021690029079,,,"['Sachet', 'Opercule en plastique', 'Etui en carton']",['Weight Watchers'],,['Fabriqué en France'],,,,,['France'],[],[],?,,83,,"1,9",,"6,8",,"7,8",,,,,,,,,,,347 kj(83 kcal),"0,8","1,8","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,
40,Pommes rissolées - U - 450g,3256227455728,A,450 g,"['Carton', 'Surgelés']",['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Pommes de terre', 'Pommes de terre rissolées', 'Pommes de terre préfrites surgelées', 'Pommes de terre rissolées surgelées', 'Pommes rissolées surgelées cuites', 'en:frozen-pre-fried-potato-cubes']",['Pommes de terre de France'],,,,['Magasins U'],['France'],"['Pomme de terre 97%', 'huile de tournesol 3%', 'dextrose']","['Sans huile de palme', 'Végétalien', 'Végétarien']",503,-12%,120,-17%,"3,3",-25%,19,-14%,"2,2",-7%,17.7%,0.0%,18.6%,14.9%,21.9%,26.9%,93,,4,503 kj(120 kcal),"0,4","0,7","0,12","0,048",,,3.3 g,en quantité modérée,0.4 g,en faible quantité,0.7 g,en faible quantité,0.12 g,en faible quantité,-16%,-35%,+36%,+18%,+18%,-2,,A,,,,,,
41,Baby bio panais - baby bio carrefour - 2x 120g,3560071215590,,2 x 120 g,['Plastique'],['baby bio carrefour'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,['France'],"['panais bio 71%', 'eau', ' Absence de gluten']",[],?,,39,,"0,5",,"6,6",,"0,9",,,,,,,,,,,163 kj(39 kcal),"0,1","2,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,
42,Ginger beer - Karma - 2 * 25cl,3760192490108,B,2 * 25 cl,"['Bouteille', 'Verre', 'Carton', 'Bouteille en verre']",['Karma'],"['Boissons', 'Boissons sans alcool', 'Bières sans alcool']","['Bio', 'Bio européen', 'Commerce équitable', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'Triman', 'Fair for Life']",,,,"['Biocoop', 'Biocoop Caluire']","['Belgique', 'France']","['Eau gazéifiée', 'sucre de canne blond* du Brésil', 'gingembre fermenté du Pérou 5%', 'jus de citron*', ' 100% du total des ingrédients agricoles sont biologiques']",[],121,-2%,?,,0,-100%,"6,8",+5%,0,-100%,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,3,121 kj(29 kcal),0,"6,1",0,0,"['Erquy', 'Bretagne', 'France']",,0 g,en faible quantité,0 g,en faible quantité,6.1 g,en quantité modérée,0 g,en faible quantité,+1%,-100%,+56%,-100%,-100%,10,+28%,E,+28%,Boisson biologique gazeuse au gingembre sans alcool,,,,
43,Le jambon sec bien élevé - Brocéliande - 100g,3700133914485,E,100 g,"['Barquette', 'Film en plastique']",['Brocéliande'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']","['en:without-antibiotics', 'Viande Française', 'Sans antibiotique dès la naissance', 'Viande Porcine Française', 'Sans OGM']",['France'],"['FR 11.262.047 CE', 'Narbonne (Aude, France)']",,['Carrefour'],['France'],"['Jambon de porc ', ' sel ', ' arômes ', ' saccharose ', ' dextrose ', ' conservateur : nitrate de potassium', ' \r Pouvant contenir du lait et des fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,215,-10%,11,-19%,"0,5",-23%,29,+1%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",4,900 kj(215 kcal),"4,4","0,5","5,6","2,24",,['Fruits à coque'],11 g,en quantité modérée,4.4 g,en quantité modérée,0.5 g,en faible quantité,5.6 g,en quantité élevée,-10%,-15%,+15%,+14%,+14%,16,-6%,D,-6%,,,,,
44,"Crêpe jambon/fromage - U - x10, 500g",3256227744396,,"x10, 500 g",['Surgelés'],['U'],"['Surgelés', 'Entrées et snacks surgelés']","['Viande Française', 'Viande Porcine Française', 'en:FSC', 'Transformé en France']",,,,['Magasins U'],['France'],"['Eau', 'farine de BLE ', 'France', 'jambon cuit supérieur 11% ', 'jambon de porc ', 'origine : France', 'sel', 'sirop de glucose', 'dextrose', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', 'OEUFS frais', 'poudre de LAIT', 'EMMENTAL 2,7%', 'CREME fraîche', 'sel', 'huile de tournesol', 'poivre', 'muscade', ' Traces éventuelles de soja et de fruits à coques']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",520,-44%,123,-45%,"2,7",-79%,17,+7%,"7,3",-13%,,,,,,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,520 kj(123 kcal),"1,2","2,7","0,81","0,324",,"['Céleri', 'Œufs', 'Gluten', 'Lait']",2.7 g,en faible quantité,1.2 g,en faible quantité,2.7 g,en faible quantité,0.81 g,en quantité modérée,-44%,-81%,-13%,-23%,-23%,1,-89%,B,-89%,,,,,
45,MATERNE SSA Multi Fruits du Verger - 4x 100g (400g),3021760291313,A,4 x 100 g (400 g),['Bocal'],['Materne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']","['Aquaculture responsable', 'Aquaculture responsable ASC', 'Sans sucre ajouté', 'Nutriscore', 'Nutriscore A', 'Pêche durable', 'Pêche durable MSC', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT']",,,,,['France'],"['Pomme 79,8 %', 'abricot 7,0 %', 'brugnon 5,0 %', 'pêche 4,0 %', 'poire 4,0%', 'arômes naturels', 'jus de citron concentré ', ""si nécessaire pour réguler l'acidité"", 'antioxydant : acide ascorbique']",[],233,-13%,55,-18%,"0,5",+53%,11,-25%,"0,5",+20%,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,['E300 - Acide ascorbique'],4,233 kj(55 kcal),"0,2","9,9","0,01","0,004",,,0.5 g,en faible quantité,0.2 g,en faible quantité,9.9 g,en quantité modérée,0.01 g,en faible quantité,-16%,+136%,-26%,+1%,+1%,-4,,A,,Spécialité de fruits avec arômes naturels sans sucres ajoutés (contient des sucres naturellement présents),,,,
46,Matière grasse tournesol 1/2 sel Mat. Gr. 60% - Marque Repère - 500g,3564706512351,,500 g,,"['Marque Repère', 'Nat&Vie']",,,,,,['Leclerc'],['France'],"['Huiles végétales 48 % ', 'tournesol 28 %', 'colza', 'eau', 'graisses végétales 11 % ', 'palme', 'coprah', 'sel 1,4 %', 'émulsifiant: E472c', 'poudre de lait partiellement écrémé', 'conservateur : E202', 'acidifiant : acide citrique', 'arômes', 'vitamine E', 'colorant : caroténoïdes', ' Les pourcentages sont exprimés sur le produit total']","['Huile de palme', 'Non végétalien']",2220,,?,,60,,"0,5",,"0,5",,,,,,,,,"[""E472c - Ester citrique des mono et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E160 - Caroténoïdes']",4,2220 kj(531 kcal),13,"0,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,
47,Monsavon Déodorant Bille Bio Senteur Citron Touche de Verveine Bille - Cosmébio - 50ml,59079354,,50 ml,['Bouteille'],"['Cosmébio', 'Monsavon']",,"['Bio', 'Point Vert', 'Fabriqué en France']",,,,,['France'],"['Aqua ', 'Water', 'Caprylic/Capric Triglyceride', 'Glycerin', 'Glyceryl Stearate Citrate', 'Triethyl Citrate', 'Cetearyl Alcohol', 'Myristyl Myristate', 'Parfum ', 'Fragrance', 'Xanthan Gum', 'Sodium Benzoate', 'Levulinic Acid', 'Sodium Levulinate', 'Aloe Barbadensis Leaf Juice Powder*', 'Milk Protein', 'Citric Acid', 'Sodium Hydroxide', 'Limonene', 'Citral', 'Geraniol', 'Linalool', 'Citronellol', "" * Ingrédients issus de l'Agriculture Biologique -------- 20% du total des ingrédients sont issus de l'Agriculture Biologique 99% du total est d'origine naturelle COSMOS ORGANIC certifié par Ecocert Greenlife selon le référentiel COSMOS""]",[],?,,?,,?,,?,,?,,,,,,,,,"['E422 - Glycérol', 'E1505 - Citrate de triéthyle', 'E415 - Gomme xanthane', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",4,,,,,,,,,,,,,,,,,,,,,,,,,Déodorant,,,,
48,Corny,4011800571610,D,,['Box'],['Corny'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres de céréales au chocolat']",['Sans sucre ajouté'],,,,,"['France', 'Allemagne']","['Süßungsmittel Maltit', 'geröstete Vollkorngetreideflocken 12% ', 'Gersten-', 'Weizen-', 'Vollkornweizen-Crispies ', 'Weizenvollkornmehl 11%', 'Weizengluten', 'Gerstenmalz', 'kakaohaltige Vollkornweizen-Crispies ', 'Weizen - vollkornmehl 9%', 'fettarmes Kakaopulver', 'Weizengluten', 'Vollmilchpulver', 'Vollmilchschokolade mit Sußungsmittel g9% ', 'Süßungsmittel Maltit', 'Kakaobutter', 'Vollmilchpulver', 'Kakaomasse', 'Emulgator Sonnenblumen-Lecithine', 'Cornflakes 8% ', 'Mais', 'Salz', 'Gerstenmalzextrakt', 'geröstete Erdnüsse', 'Kokosfett', 'Stabilisator Glycerin', 'Salz', 'Emulgator Sonnenblumen-Lecithine', 'natürliches Kakao-Aroma mit anderen natürlichen Aromen']",['Non végétalien'],1405,-29%,325,-27%,"8,9",-54%,"67,6",+15%,"6,8",-5%,83.7%,9.1%,3.5%,2.1%,1.6%,0.0%,46,"['E965 - Maltitol', 'E422 - Glycérol']",4,1405 kj(325 kcal),5,"1,6","0,43","0,172",,"['Gluten', 'Lait']",8.9 g,en quantité modérée,5 g,en quantité modérée,1.6 g,en faible quantité,0.43 g,en quantité modérée,-25%,-50%,-95%,+15%,+15%,5,-71%,C,-71%,,,,,
49,Ananas en morceaux bio - Costa Rica - Picard - 450g,3270160680474,B,450 g,['Surgelé'],['Picard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Fruits et produits dérivés', 'Aliments à base de plantes surgelés', 'Fruits', 'Fruits tropicaux', 'Fruits surgelés', 'Ananas']",['Bio'],,,,['Picard'],['France'],['ANANAS EN MORCEAUX'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,58,+9%,"0,5",+31%,"13,8",+59%,"0,5",-48%,37.7%,0.0%,0.0%,33.4%,15.9%,13.1%,95,,1,243 kj(58 kcal),"0,1",12,"< 0,01","0,004",,,0.5 g,en faible quantité,0.1 g,en faible quantité,12 g,en quantité modérée,0.01 g,en faible quantité,+10%,+29%,+57%,-22%,-22%,-4,,A,,,,,,
50,Pedigree -  Dentastix Fresh,5010394001526,,,['mixed plastic-wrapper'],,,,,,,,['France'],[],[],?,,292,,2,,"0,1",,"7,7",,,,,,,,,,,1222 kj(292 kcal),"1,8","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,
51,Ravioles basilic - Saint Jean - 300g,3266140061418,,300 g,,['Saint Jean'],,,,,,,['France'],[],[],?,,243,,"6,9",,35,,9,,,,,,,,,,,1017 kj(243 kcal),"4,3","3,3","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,
52,Galettes à la canelle - Carrefour - 2x 235g,8431876246926,C,2 x 235 g,,['Carrefour'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,['Carrefour'],"['France', 'Espagne']","['Harina de ttrigo', 'azúcar', 'aceite de girasol alto oleico ', '16,5%', 'jarabe de glucosa y fructosa', 'dextrosa', 'gasificantes ', 'carbonato ácido de amonio y carbonato ácido de sodio', 'sal', 'canela 0,3%', 'emulgente ', 'lecitina de soja', 'antioxidante ', 'metabisulfito sódico', ' y leche desnatada en polvo']",['Non végétalien'],1945,-3%,463,-2%,17,-18%,70,+9%,"6,4",-2%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']",4,1945 kj(463 kcal),2,"20,9","0,65","0,26",,"['Gluten', 'Lait', 'Soja', 'Anhydride sulfureux et sulfites']",17 g,en quantité modérée,2 g,en quantité modérée,20.9 g,en quantité élevée,0.65 g,en quantité modérée,-2%,-80%,-29%,+10%,+10%,10,-49%,C,-49%,,,,,
53,Huile de Tournesol - Le Bio pour Tous,3760295170044,B,,,['Le Bio pour Tous'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['26220 I', 'EMB 26220I', 'Nyons (Drôme, France)']",,,['France'],[],[],?,,900,+3%,100,+3%,0,-100%,0,-100%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,,3766 kj(900 kcal),12,0,0,0,,,100 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+3%,+13%,-100%,-100%,-100%,11,0%,D,0%,,,,,
54,Smoothie - True Fruits - 750ml,4260122391400,C,750ml,"['Glas', 'flasche', 'Metalldeckel']",['True Fruits'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Smoothies']",,,,,,"['France', 'Allemagne']",[],[],?,,48,-16%,"0,2",-44%,11,-9%,"0,4",-36%,33.4%,29.2%,13.3%,14.0%,7.9%,2.2%,60,,,201 kj(48 kcal),"0,1",10,0,0,,,0.2 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,-15%,-18%,-7%,-100%,-100%,14,+35%,E,+35%,,,,,
55,Pfeffer Rahm Haenchen mit Spaetzle - FRoSTA,4008366013425,,,,['FRoSTA'],,,,,,,"['France', 'Allemagne']",[],[],?,,95,,"2,8",,"10,6",,6,,,,,,,,,,,397 kj(95 kcal),"1,4","1,4","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,
56,Lait frais entier bio - marguerite - 1l,3533630097807,C,1l,['bouteille plastique'],['Marguerite'],"['Produits laitiers', 'Laits', 'Laits frais', 'Laits entiers']","['Bio', 'Bio européen']",['Montagne France'],"['FR 42.305.001 CE', 'Talaudière (Loire, France)']",,['Casino'],['France'],"['Entier 3,5% M', 'G', ' lait frais microfiltre entier 3,5% M', ' non normalise issu de l’agriculture biologique']",[],?,,68,+15%,4,+47%,"4,8",+1%,"3,2",-2%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,285 kj(68 kcal),"2,3","4,8","0,1","0,04",['France'],,4 g,en quantité modérée,2.3 g,en quantité modérée,4.8 g,en faible quantité,0.1 g,en faible quantité,+18%,+28%,+3%,-2%,-2%,2,+188%,B,+188%,,,,,
57,Bedda Mayo mild & cremig,4056924001292,,,,,,"['Végétarien', 'Sans gluten', 'Végétalien']",,,,,"['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",?,,472,,50,,"7,5",,"0,5",,,,,,,,,,,1975 kj(472 kcal),3,"4,5","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,
58,Tonno all'olio d'oliva - As do mar - 80g,8003294501194,D,80 g,['FE-40'],['As do mar'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons']","['Pêche durable', 'it:Friend of the sea']",,,,"['Tigros', 'Coop', 'Esselunga', 'Bennet']","['France', 'Italie', 'Espagne']","['Atun', 'aceite de oliva', 'sal']",[],909,+21%,218,+19%,14,+41%,0,-100%,23,+7%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,909 kj(218 kcal),"2,2",0,"1,1","0,44",,,14 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,1.1 g,en quantité modérée,+19%,+25%,-100%,+7%,+7%,3,-2%,C,-2%,,,,,
59,Raisin sec sultanine - Bedros Et Savino,3580281270226,D,,,['Bedros Et Savino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs', 'Raisins secs Sultanines']",['Bio'],,,,,['France'],[],[],?,,298,-4%,"0,5",-10%,67,-6%,"2,8",0%,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,,1247 kj(298 kcal),"0,1",67,"0,1","0,04",,,0.5 g,en faible quantité,0.1 g,en faible quantité,67 g,en quantité élevée,0.1 g,en faible quantité,-4%,-24%,+6%,+73%,+73%,7,+35%,C,+35%,,,,,
60,Dr pepper - 1l,4000140705625,,1 l,['PET'],['Dr Pepper'],"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons avec sucre ajouté']",,,,,,"['France', 'Allemagne']","['WASSER', 'ZUCKER', 'KOHLENSÄURE', 'FARBSTOFFE 150d', 'SÄUERUNGSMITTEL PHOSPHORSÄURE', 'AROMEN', 'AROMA KOFFEIN', 'SÜẞUNGSMITTEL ', 'ACESULFAM-K', 'SUCRALOSE']",[],115,+195%,27,+80%,0,-100%,"6,8",+153%,0,-100%,,,,,,,,"['E290 - Dioxyde de carbone', 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition', 'E950 - Acésulfame K', 'E955 - Sucralose']",4,115 kj(27 kcal),0,"6,8",0,0,,,0 g,en faible quantité,0 g,en faible quantité,6.8 g,en quantité élevée,0 g,en faible quantité,+95%,-100%,+191%,-100%,-100%,9,+109%,D,+109%,,,,,
61,Tatziki - 180g,3353820013260,,180 g,,,,"['Sans arômes artificiels', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",,"['FR 93.047.034 CE', 'Montfermeil (Seine-Saint-Denis, France)']",,,['France'],[],[],?,,112,,"9,2",,"2,5",,"3,7",,,,,,,,,,,469 kj(112 kcal),"3,1","2,5","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,
62,Uova - Coop,8001120998620,C,,,"['Coop', 'Vivi Verde']","[""Produits d'élevages"", 'Œufs', 'Œufs de poules']","['Bio', 'Bio européen', 'IT-BIO-007', 'IT-BIO-009']",,,,,['France'],['6 uova fresche biologiche'],[],?,,128,-7%,"8,7",-12%,0,-100%,"12,4",-1%,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,536 kj(128 kcal),"3,2",0,"0,34","0,136",,,8.7 g,en quantité modérée,3.2 g,en quantité modérée,0 g,en faible quantité,0.34 g,en quantité modérée,-8%,+31%,-100%,+26%,+26%,0,,B,,,,,,
63,Cacahuètes grillées à sec - Auchan,8435177059896,D,,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Cacahuètes grillées']","['Nutriscore', 'Nutriscore C']",,,,['Auchan'],['France'],[],[],?,,605,-0%,46,-6%,10,-17%,27,+4%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,2531 kj(605 kcal),"6,4","4,8","1,5","0,6",,,46 g,en quantité élevée,6.4 g,en quantité élevée,4.8 g,en faible quantité,1.5 g,en quantité modérée,-0%,-11%,-8%,+52%,+52%,10,+67%,C,+67%,,,,,
64,Kaffeeweißer -  - 250.0g,4337185590191,,250.0 g,['Becher'],,,,,,,,"['France', 'Allemagne']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Semoule au lait - Carrefour,3560071225087,B,,,['Carrefour'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Semoules au lait']",['Fabriqué en France'],,"['EMB 44212L', 'Vallet (Loire-Atlantique, France)', 'FR 44.212.001 CE', 'Vallet (Loire-Atlantique, France)']",,['Carrefour'],['France'],[],[],?,,502,+311%,"3,4",-14%,19,+8%,"2,9",-14%,57.6%,19.3%,8.9%,7.9%,4.9%,1.3%,91,,,2100 kj(502 kcal),"2,2",14,"0,1","0,04",,,3.4 g,en quantité modérée,2.2 g,en quantité modérée,14 g,en quantité élevée,0.1 g,en faible quantité,+309%,-13%,+9%,-9%,-9%,11,+180%,D,+180%,,,,,
