,name,bar_code,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,traceability_code,additives,generic_name,manufacturing,link,ingredients_origins,palm_ingredients,brand_owner,producer_info,origin_detail
38,Premium Direktsaft - Lieblings - 1l,4316268609784,['Tetrapak'],['Lieblings'],"['France', 'Allemagne']",['Apfelsaft naturtrüb'],"['Végétalien', 'Végétarien']",?,48,201 kj(48 kcal),"0,1","0,1",11,"10,5","0,1","0,01","0,004",B,1 l,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme']","['Végétarien', 'Végétalien']",['Netto'],0.1 g,en faible quantité,0.1 g,en faible quantité,10.5 g,en quantité élevée,0.01 g,en faible quantité,,+4%,+5%,-39%,+212%,+1%,+2%,-53%,-8%,-8%,4,-3%,C,-3%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,
39,Pizza légumes grillés chèvre cendré français tomates marinées - Atelier Saint Georges,3242272371052,,['Atelier Saint Georges'],['France'],[],[],?,194,812 kj(194 kcal),"7,3","3,6",22,"3,9","8,3",1,"0,4",,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']","['Sans additifs', 'Nutriscore', 'Nutriscore A']",['Monoprix'],7.3 g,en quantité modérée,3.6 g,en quantité modérée,3.9 g,en faible quantité,1 g,en quantité modérée,,-15%,-15%,-13%,-8%,-18%,+33%,-19%,-20%,-20%,1,-87%,B,-87%,,,,,,,,,,,,,,,,,,,
40,Herbes de Provence,4056489167952,,,['France'],[],[],?,288,1205 kj(288 kcal),"8,9","3,7","22,1","1,1","8,1","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Chips paysannes nature -  - 150g,3250392868895,,,['France'],[],[],?,530,2218 kj(530 kcal),32,"2,5",52,"0,5","6,2","1,1","0,44",B,150 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips paysannes']","['Nutriscore', 'Nutriscore A']",,32 g,en quantité élevée,2.5 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,,-2%,-2%,-6%,-20%,+2%,-17%,+6%,-10%,-10%,8,-22%,C,-22%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,,,,
42,Confiture extra bio village,3564707164672,,['Bio Village'],['France'],[],[],?,239,1000 kj(239 kcal),"0,5",0,59,59,"0,5","0,01","0,004",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe']",['Bio'],['Leclerc'],0.5 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0.01 g,en faible quantité,,+8%,+8%,+124%,-100%,+9%,+12%,+8%,-39%,-39%,10,+7%,C,+7%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
43,Tartines craquantes sarrasin - Léa Nature Jardin Bio - 150g,3456300012552,['Carton'],['Léa Nature Jardin Bio'],['France'],['farine de sarrasin  80 %farine de riz 20 %'],['Sans huile de palme'],?,371,1552 kj(371 kcal),2,"0,7",75,"0,8",11,0,0,A,150 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']","['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'FR-BIO-01', 'Sans lactose', 'en:palm-oil-free']",,2 g,en faible quantité,0.7 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,,-3%,-3%,-56%,-32%,+6%,-86%,+11%,-100%,-100%,-1,-133%,A,-133%,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,,,,,,,,,,,,
44,DOLCE GUSTO RICORE - Nescafe - 16Capsules,7613037962215,['Boite'],"['Nescafe', 'Dolce gusto']",['France'],"['Café soluble ', '33,7%', 'oligofructose ', '32,7%', 'chicorée soluble ', '29,8%', 'sulfate de magnésium ', '3,8%', ' Peut contenir du lait et du soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",597,146,597 kj(146 kcal),"0,6","0,2",9,9,"2,7","0,22","0,088",,16 Capsules,"['Boissons', 'Boissons instantanées']",['Point Vert'],,0.6 g,en faible quantité,0.2 g,en faible quantité,9 g,en quantité élevée,0.22 g,en quantité modérée,-56%,-44%,-48%,-84%,-92%,-82%,-76%,-54%,-28%,-28%,1,-90%,B,-90%,,,,,,,,,1,,,"Préparation alimentaire de café soluble, oligofructose, chicorée soluble avec du magnésium",,,,,,,
45,High protein vanille Quark-Creme - Milbona - 200g,4056489216216,"['06', 'Aludeckel']",['Milbona'],"['France', 'Allemagne']",[],[],284,67,284 kj(67 kcal),"0,5","0,4","3,2","2,6","12,4","0,14","0,056",D,200 g,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Quark', 'Fromages à la crème']",,['Lidl'],0.5 g,en faible quantité,0.4 g,en faible quantité,2.6 g,en faible quantité,0.14 g,en faible quantité,-32%,-36%,-34%,-84%,-80%,-72%,-75%,+90%,+21%,+21%,-5,-563%,A,-563%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
46,Trauben-Nuss-Müsli - Ja! - 1000g,4388860407051,['Beutel'],['Ja!'],"['France', 'Allemagne']","['Vollkorn-Haferflocken', 'Vollkorn - Weizenflocken', 'Vollkorn-Roggenflocken', 'Sultaninen 15% ', 'Haselnusskerne 3%', 'Kokosraspeln', 'Leinsamen', 'Cornflakes ', 'Mais', 'Zucker', 'Speisesalz', 'Gerstenmalzext - rakt', 'Mandeln 2%', 'zerkleinerte Erdnuss - kerne 2%', 'Sonnenblumenkerne', 'Sonnen - blumenöl', 'Weizenmehl']",[],?,383,1602 kj(383 kcal),"10,5","3,9","55,8","12,4",11,"0,1","0,04",B,1000g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']",,,10.5 g,en quantité modérée,3.9 g,en quantité modérée,12.4 g,en quantité modérée,0.1 g,en faible quantité,,-4%,-4%,-1%,+44%,-9%,-31%,+15%,-31%,-31%,-1,-129%,A,-129%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,"['Gluten', 'Fruits à coque']",3,,,,,,,,,,
47,Le brassé de brebis Vanille - Le Petit Basque,3280240043303,,['Le Petit Basque'],['France'],[],[],?,114,477 kj(114 kcal),"5,9","4,4","10,5","9,4","4,5","0,1","0,04",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis', 'Yaourts vanille']",,,5.9 g,en quantité modérée,4.4 g,en quantité modérée,9.4 g,en quantité modérée,0.1 g,en faible quantité,,+18%,+18%,+68%,+96%,-12%,-15%,+17%,-7%,-7%,5,+86%,C,+86%,,,,,,,,,,,,,,,,,,,
48,Spaetzle à poêler 500g - Stoeffler,3180950015723,['Sachet'],['Stoeffler'],['France'],"['Farine de blé*', 'œufs* ', '30%', 'eau', 'sel*', 'huile végétale de colza*', ' Contient du lait', ' Peut contenir de la moutarde et des fruits à coque', ' * Origine FRANCE']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",708,168,708 kj(168 kcal),"3,9","0,7",27,"0,5","5,8","0,63","0,252",,500g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,['Leclerc'],3.9 g,en quantité modérée,0.7 g,en faible quantité,0.5 g,en faible quantité,0.63 g,en quantité modérée,-49%,-49%,-49%,+51%,+0%,-56%,-82%,-50%,+197%,+197%,1,,B,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",3,,,pâtes fraîches à poêler,"[""Stoeffler Boulevard de l'Europe 67211 Obernai"", 'France']",https://www.stoeffler.com/,['France'],,,,
49,Salade poulet rôti bacon fromage,3242274005658,,,['France'],[],[],?,183,766 kj(183 kcal),"9,9","1,5",14,"3,5","8,1","0,78","0,312",,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Knoppers Erdnuss Riegel - Stork - 200g,4014400929355,"['Stück', 'Kunststoff', 'Tüte', 'Stück']",['Stork'],"['Autriche', 'France', 'Allemagne']","['Zucker', 'Erdnüsse 14,3%', 'pflanzliche Fette ', 'Palm', 'Shea', 'Raps', 'Glukosesirup', 'Vollmilchpulver 6,2%', 'Kakaobutter', 'Magermilchpulver 5,5%', 'kondensierte Magermilch', 'Weizenmehl 3,9%', 'Kakaomasse', 'Weizenvollkornmehl 2%', 'Kakao', 'Feuchthaltemittel Sorbitsirup', 'Buttermilchpulver', 'Milchzucker', 'Butterreinfett', 'Sahne', 'kondensierte Süßmolke', 'Butter', 'Molkenerzeugnis', 'Salz', 'Emulgator Lecithine ', 'Soja', 'Weizenstärke', 'magerer Kakao', 'Sahnepulver', 'Rohrzuckersirup', 'natürliche Aromen', 'Backtriebmittel Natriumhydrogencarbonat', 'Stabilisator Carrageen', 'gemahlene Haselnüsse', 'natürliches Vanillearoma']","['Huile de palme', 'Non végétalien']",2157,517,2157 kj(517 kcal),"29,7","14,6","51,3","39,3",10,"0,63","0,252",,200 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Fruits à coques et dérivés', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres de fruits à coques', 'Barres de cacahuètes']",['Point Vert'],['Edeka'],29.7 g,en quantité élevée,14.6 g,en quantité élevée,39.3 g,en quantité élevée,0.63 g,en quantité modérée,+5%,+2%,+2%,-2%,+130%,+37%,+73%,-41%,+72%,+72%,26,+93%,E,+93%,,,,,,,,"['Gluten', 'Lait', 'Fruits à coque', 'Arachides', 'Soja']",4,,"['E420ii - Sirop de sorbitol', 'E322 - Lécithines', 'E500ii - Carbonate acide de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","Waffelriegel mit Milchcreme (14,4%), Erdnusscreme (14%), gesalzenen, gehakten Erdnüssen (13,4%) und zartem Karamell (22,1%), umhüllt von Vollmilchschokolade (29,5%)",,https://www.knoppers.de/riegel,,,,,
51,Ice Tea - Framboise et fleur de cerisier - Lipton - 1L,3168930161530,['Plastique'],['Lipton'],['France'],"['Eau', 'sucre', 'acidifiants ', 'acide citrique', 'acide malique', 'extrait de thé noir ', '1,2g/l', 'jus de framboise à base de jus concentré ', '0,1%', 'arômes naturels', 'antioxydant ', 'acide ascorbique', 'édulcorant ', 'glycosides de stéviol', ""correcteur d'acidité no "", 'citrates de sodium']",[],?,20,84 kj(20 kcal),0,0,"4,7","4,5","0,5","0,01","0,004",B,1L,"['Boissons', 'Boissons édulcorées', 'Boissons au thé', 'Thés glacés', 'Boissons avec sucre ajouté']",['Rainforest Alliance'],['Monoprix'],0 g,en faible quantité,0 g,en faible quantité,4.5 g,en quantité modérée,0.01 g,en faible quantité,,0%,-1%,-100%,-100%,-0%,+0%,+331%,-60%,-60%,6,-10%,D,-10%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,4,,"['E330 - Acide citrique', 'E296 - Acide malique', 'E300 - Acide ascorbique', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E331 - Citrates de sodium']",,,,,,,,
52,Faisselle de Bresse - Lidl - 1kg,4056489193630,['Pot en plastique'],['Lidl'],['France'],"['lait écrémé pasteurisé', 'crème pasteurisée', 'poudre de lait écrémé', ' ferments lactique', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,78,326 kj(78 kcal),"4,5","3,3","5,3","5,2","4,1","0,2","0,08",B,1 kg,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Faisselles']",,['Lidl'],4.5 g,en quantité modérée,3.3 g,en quantité modérée,5.2 g,en quantité modérée,0.2 g,en faible quantité,,-9%,-9%,-15%,-1%,+20%,+52%,-7%,+80%,+80%,2,+36%,B,+36%,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,['Lait'],3,"['FR 71.558.002 CE', 'Varennes-Saint-Sauveur (Saône-et-Loire, France)']",,,['Varennes-Saint-Sauveur'],,['France'],,,,
53,Quinoa gourmand - Findus,3599741005469,['Etui en carton'],['Findus'],['France'],"['Légumes et légumineuse en proportions variables 75% ', 'courge butternut 20%', 'carottes jaunes 19%', 'brocolis 15%', 'lentilles vertes 12%', 'petits pois', 'quinoa cuit 12% ', 'eau', 'quinoa', 'eau', 'riz sauvage cuit ', 'eau', 'riz sauvage', 'sel', 'huile de colza', 'sel', 'amidon de riz', 'gingembre', 'piment de Cayenne']","['Sans huile de palme', 'Végétalien', 'Végétarien']",368,88,368 kj(88 kcal),2,"0,2",12,"2,3","3,9","0,68","0,272",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Plats préparés', 'Céréales en grains', 'Quinoa', 'Plats à base de quinoa']","['Nutriscore', 'Nutriscore A']",,2 g,en faible quantité,0.2 g,en faible quantité,2.3 g,en faible quantité,0.68 g,en quantité modérée,-37%,-32%,-32%,-54%,-74%,-21%,+14%,-25%,-5%,-5%,1,,B,,80.5%,0.0%,5.8%,10.4%,3.3%,0.0%,70,,3,,,,,,,,,,
54,Fusées aux fruits - Picard - 496g,3270160731176,"['Carton', 'surgelé']",['Picard'],['France'],"['FR Eau', 'sucre', ""jus d'orange 13,5%"", 'jus de citron 9,6%', 'purée de framboise 5%', 'stabilisant :gomme guar', ""extrait d'orange 0,02%""]",[],?,78,326 kj(78 kcal),"0,5","0,1",20,19,"0,5",,,B,496 g,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",['Sans colorants'],['Picard'],0.5 g,en faible quantité,0.1 g,en faible quantité,19 g,en quantité élevée,,,,-67%,-66%,-96%,-99%,-28%,-19%,-84%,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,4,,['E412 - Gomme de guar'],,,,,,,,
55,"Tarte poivrons, chorizo, feta - Picard",3270160891603,,['Picard'],['France'],[],[],?,248,1038 kj(248 kcal),15,"9,4",20,"2,5","6,3","0,58","0,232",,,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées']",,['Picard'],15 g,en quantité modérée,9.4 g,en quantité élevée,2.5 g,en faible quantité,0.58 g,en quantité modérée,,+0%,+1%,+10%,+48%,-9%,-12%,-16%,-47%,-47%,14,+22%,D,+22%,,,,,,,,,,,,,,,,,,,
56,"Jus de pomme - Tentation de Fruits - 1,5L",3383810002561,['Bouteille'],['Tentation de Fruits'],['France'],['Jus de pomme à base de concentré'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,42,176 kj(42 kcal),"0,5","0,1",10,"9,6","0,5",0,0,C,"1,5 L","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré', 'Jus de pomme', 'Jus de pomme à base de concentré fruits']",,,0.5 g,en faible quantité,0.1 g,en faible quantité,9.6 g,en quantité élevée,0 g,en faible quantité,,-7%,-6%,+191%,+253%,-3%,-2%,+23%,-100%,-100%,3,-18%,C,-18%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,1,,,,,,,,,,
57,Fein gehackte Tomaten - ja! - 400g,4388840219872,"['Eisen', 'Dose(n)']",['ja!'],"['France', 'Allemagne']","['Tomaten 60%', 'Tomatensaft', 'Säuerungsmittel Citronensäure,']","['Sans huile de palme', 'Végétalien', 'Végétarien']",97,23,97 kj(23 kcal),"0,3","0,1",3,3,"1,2","0,15","0,06",A,400 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve', 'Tomates pelées']",,['REWE'],0.3 g,en faible quantité,0.1 g,en faible quantité,3 g,en faible quantité,0.15 g,en faible quantité,-7%,-8%,-5%,+6%,+124%,-20%,-7%,+3%,-28%,-28%,-5,,A,,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,,1,,['E330 - Acide citrique'],,['Fisciano'],,,,,,
58,Tortilla Chips Nacho Cheese - Gut & Günstig - 300g,4311501637449,,['Gut & Günstig'],"['France', 'Allemagne']","['75% Maismehl', '20% Sonnenblumenöl', 'Speisesalz', 'Käsepulver', 'Dextrose', 'Laktose', 'Maltodextrin', 'Aroma ', 'enthält Milch', 'Zwiebel', 'Knoblauch', 'Gewürzextrakte', 'Säuerungsmittel: Citronensäure,']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1979,472,1979 kj(472 kcal),20,2,"64,4","1,5","6,6","1,6","0,64",B,300 g,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Plats préparés', 'Chips', 'Entrées', 'Chips de maïs']",,,20 g,en quantité modérée,2 g,en quantité modérée,1.5 g,en faible quantité,1.6 g,en quantité élevée,-2%,-2%,-2%,-12%,-32%,+7%,-21%,+3%,+37%,+37%,9,-7%,C,-7%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['Lait'],4,,['E330 - Acide citrique'],,['Belgien'],,['France'],,,,
59,Galettes au Sarrasin - Monoprix Bio,3350033700505,,"['Monoprix Bio', 'Monoprix']",['France'],[],[],?,217,908 kj(217 kcal),10,"1,1",25,"0,7","5,3","0,94","0,376",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Steaks végétaux', 'Galettes de céréales aux légumes']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['Monoprix'],10 g,en quantité modérée,1.1 g,en faible quantité,0.7 g,en faible quantité,0.94 g,en quantité modérée,,+11%,+12%,+27%,-14%,+23%,-67%,-29%,+11%,+11%,4,,C,,,,,,,,,,,,,,,,,,,,
60,Sandwich le fresh poulet rôti - Sodebo,3242272944157,,['Sodebo'],['France'],[],[],?,203,849 kj(203 kcal),"6,9","2,1",23,"3,1","9,9","0,99","0,396",C,,"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet']","['Sans additifs', 'Nutriscore', 'Nutriscore A']",,6.9 g,en quantité modérée,2.1 g,en quantité modérée,3.1 g,en faible quantité,0.99 g,en quantité modérée,,-9%,-9%,-18%,+45%,-11%,-5%,-2%,-18%,-18%,3,+11%,C,+11%,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,,,,,,,,,,,,
61,Mini Galettes Riz et Graines de Chia - Bio Village - 44g,3564707150187,['Sachet en plastique'],['Bio Village'],['France'],[],[],?,383,1602 kj(383 kcal),"3,6","1,1",77,"0,5","8,5","0,12","0,048",D,44 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Leclerc'],3.6 g,en quantité modérée,1.1 g,en faible quantité,0.5 g,en faible quantité,0.12 g,en faible quantité,,-15%,-14%,-88%,-65%,+542%,-9%,-58%,+402%,+402%,0,-100%,B,-100%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,,,,,,,,,,,
62,Gazpacho Andaluz - alvalle - 750ml,3168930162650,"['Bouteille en plastique', 'Bouchon en plastique']",['Alvalle'],['France'],"['Tomate', 'eau', 'poin de iz', 'Wie ine rierge extra ', '1,97', 'vinaigre de vin', 'ail', 'sel lener en légumes: 80%']",[],?,46,192 kj(46 kcal),22,"0,3","5,5","2,1","0,8","0,49","0,196",B,750 ml,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']","['Nutriscore', 'Nutriscore A']",['Carrefour'],22 g,en quantité élevée,0.3 g,en faible quantité,2.1 g,en faible quantité,0.49 g,en quantité modérée,,+12%,+11%,+798%,-22%,+64%,-18%,+2%,-26%,-26%,0,-100%,B,-100%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,3,,,,,,,,,,
63,Boules Miel - P'tit Déli - 400g,3564706614833,,"[""P'tit Déli""]",['France'],"['Semoule de maïs 76 %', 'sucre', 'miel 5 %', 'sirop de sucre caramélisé', 'sel', ' Traces de gluten', 'fruits à coque', 'lait et graines de sésame']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,391,1636 kj(391 kcal),1,"0,2",89,28,"5,8","0,47","0,188",C,400 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']","['Sans colorants', 'Nutriscore', 'Nutriscore C']",,1 g,en faible quantité,0.2 g,en faible quantité,28 g,en quantité élevée,0.47 g,en quantité modérée,,-2%,-2%,-89%,-91%,+33%,+68%,-38%,+32%,+32%,11,+104%,D,+104%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,3,,,,,,,,,,
64,"Lasagnes Légumes, soja - Carrefour Veggie - 300g",3560071234263,,['Carrefour Veggie'],['France'],"['Lait demi-écrémé', 'tomate pelée concassée 14%', 'eau', 'pâte à lasagne 9,3% ', 'semoule de blé dur', 'eau', 'double concentré de tomate 6%', 'champignon de Paris 6%', 'protéine de soja texturée 4,2%', 'purée de tomate 3,6%', 'carotte 3,3%', 'oignon 3,3%', 'emmental 3,3%', 'crème fraîche', 'huile de tournesol', 'farine de blé', 'amidon de maïs', 'lait entier en poudre', 'basilic', 'sel', 'ail', 'thym', 'sucre', 'poivre', 'paprika', 'colorant : caramel ordinaire ', ' curcuma']",['Non végétalien'],?,139,582 kj(139 kcal),"5,2","1,9",16,"4,2","6,1","0,56","0,224",,300 g,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes végétariennes']","['Nutriscore', 'Nutriscore A']",,5.2 g,en quantité modérée,1.9 g,en quantité modérée,4.2 g,en faible quantité,0.56 g,en quantité modérée,,+9%,+10%,-7%,-17%,+25%,+52%,+20%,-26%,-26%,-1,-143%,A,-143%,,,,,,,,"['Gluten', 'Lait']",4,,['E150a - Caramel E150a'],,,,,,,,
65,Rôti de porc cuit - Carrefour Bio - 2tranches,3560071243043,"['Barquette', 'Sous-vide']",['Carrefour Bio'],['France'],[],[],?,142,594 kj(142 kcal),5,"1,9",0,0,24,"1,9","0,76",D,2 tranches,"['Viandes', 'Viandes cuites', 'Viande blanche cuite', 'Porc', 'Viande de porc cuite', 'Rôti de porc cuit', 'Rôtis de porc']","['Bio', 'Bio européen', 'Viande Française', 'FR-BIO-01', 'Viande Porcine Française', 'Fabriqué en France', 'Nutriscore', 'Nutriscore C']",['Carrefour'],5 g,en quantité modérée,1.9 g,en quantité modérée,0 g,en faible quantité,1.9 g,en quantité élevée,,+18%,+15%,+34%,+15%,-100%,-100%,+12%,+3%,+3%,5,-23%,C,-23%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,"['FR 22.136.007 CE', ""Loudéac (Côtes-d'Armor, France)""]",,,,,,,,,
66,"O verger - oasis - 1,2litre",3124480192615,"['Bouteille en plastique', 'Bouchon en plastique']","['Oasis', 'Orangina Schweppes']",['France'],"['Eau de source 53%', 'jus de fruits à base de concentrés 46% ', 'pomme 39%', 'ananas 5%', 'fruit de la passion 1%', 'citron', 'acérola', 'arômes naturels', 'concentrés ', 'pomme', 'fleur de carthame', 'citron', ' ina Schweppes Erance', "" Fabriqué avec l'autorisation du propriétaire de la marque"", ' Service consommateurs:Orangina Schweppes France', 'CS 80491', '13593 Aix-en-Provence la date et le numéro du lot inscrits sur le haut de la bouteille', ' Á consommer']",[],88,21,88 kj(21 kcal),0,0,"4,5","4,4","0,1",0,0,,"1,2 litre","['Boissons', 'Eaux', 'Eaux aromatisées', 'Eaux aromatisées sans sucre ajouté']",,,0 g,en faible quantité,0 g,en faible quantité,4.4 g,en quantité modérée,0 g,en faible quantité,,+91%,+100%,,,+169%,+168%,+400%,-100%,-100%,4,+22%,C,+22%,,,,,,,,,4,,,,,,,,,,
67,Recettes de l'ATELIER - Nestlé - 170g,7613037987454,,['Nestlé'],['France'],[],[],?,525,2197 kj(525 kcal),31,17,49,44,"7,4",,,,170 g,,['Sans arômes artificiels'],['Cora'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ora,,,,,,,
