,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,packaging,labels,traceability_code,additives,nova_score,generic_name,ingredients_origins,manufacturing,link,allergens,origin_detail,markets,palm_ingredients,brand_owner,producer_info
975,Fettine Light,8019730019451,['France'],[],[],?,185,774 kj(185 kcal),9,"6,3","9,5","9,5","16,6","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Grenade Reload Chocolate Chunk - 70g,5060221206501,"['France', 'Jersey']",[],[],1370,326,1370 kj(326 kcal),"12,9","5,14","31,4","4,29","24,3","0,771","0,309",,"['Snacks', 'Snacks sucrés', 'Barres', 'Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",12.9 g,en quantité modérée,5.14 g,en quantité élevée,4.29 g,en faible quantité,0.771 g,en quantité modérée,-9%,-12%,-12%,-1%,-13%,-4%,-68%,-17%,+57%,+57%,7,-32%,C,-32%,,,,,,,,70 g,['Grenade'],['Plastique'],"['Peu ou pas de sucre', 'Peu de sucre', 'Riche en fibres', 'Riche en protéines', 'Vegetarian Society Approved']",,,,Grenade Reload Chocolate Chunk,,,,,,,,,
977,test 4 -,3257983120325,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Yogi Drink Pomme - 200ml,7610900018963,['France'],[],[],?,90,377 kj(90 kcal),"1,5","0,9",16,16,"2,7",,,,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées']",1.5 g,en quantité modérée,0.9 g,en quantité modérée,16 g,en quantité élevée,,,,+32%,+30%,-7%,-10%,+57%,+66%,-8%,,,,,,,,,,,,,,200 ml,,,,,,,,,,,,,,,,
979,Yeti Sundae,3332792003783,['France'],[],[],?,111,464 kj(111 kcal),"4,8","4,3","15,5","15,2","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,3428881146100,3428881146100,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pot en plastique'],,,,,,,,,,,,,,
981,Croquette de chat,3256225979301,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,La tuile pâtissière aux amandes pur beurre,3543930000070,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Sa Giang Hu Tieu Tapioka Reisnudeln,8934746052028,['France'],[],[],?,357,1494 kj(357 kcal),"0,5","0,2",81,"0,8","5,4","0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Gain Bolic 6000,5901330038105,['France'],[],[],?,37,155 kj(37 kcal),2,1,75,32,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,American sandwich -,3848857000906,['France'],[],[],?,253,1059 kj(253 kcal),"4,5","0,4","41,7","4,9","7,7","1,2","0,48",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie', 'Pains complets', 'Pains de mie complet']",4.5 g,en quantité modérée,0.4 g,en faible quantité,4.9 g,en faible quantité,1.2 g,en quantité modérée,,-2%,-2%,+5%,-36%,-3%,-2%,-13%,+5%,+5%,5,,C,,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,,"['Sans additifs', 'Sans huile de palme', 'Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,
986,Bardane,3401546466508,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Mozzarella -  - 400g,8026160007125,['France'],[],[],?,299,1251 kj(299 kcal),23,16,"0,9","0,9",22,"0,68","0,272",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",23 g,en quantité élevée,16 g,en quantité élevée,0.9 g,en faible quantité,0.68 g,en quantité modérée,,+15%,+16%,+11%,+14%,-13%,+20%,+31%,+1%,+1%,11,+8%,D,+8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,400 g,,,['Fabriqué en Italie'],['IT 08-697 CE'],,,,,,,,,,,,
988,Unsere Mousse au Chocolat,4002809001109,['France'],[],[],?,154,644 kj(154 kcal),"5,5","4,5",21,17,"4,4","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Comté affiné 18 mois minimum -,2871736036278,['France'],[],[],?,418,1749 kj(418 kcal),35,23,0,0,27,"0,9","0,36",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,,-0%,-0%,+1%,+1%,-100%,-100%,+0%,+7%,+7%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,
990,Le sfogliette dorate - Panealba - 180g,8002333018839,['France'],"['FARINE DE BLÉ', 'FARINE DE RIZ', 'AMIDON DE MAÏS', ""Huile D'OLIVE 7 %"", 'HUILE DE TOURNESOL', 'SEL MARIN', ""POUDRE À LEVER : CARBONATE ACIDE D'AMMONIUM""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,451,1887 kj(451 kcal),15,"1,7",69,1,"8,6","2,2","0,88",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs nature', 'Biscuits apéritifs sans fromage']",15 g,en quantité modérée,1.7 g,en quantité modérée,1 g,en faible quantité,2.2 g,en quantité élevée,,-3%,-4%,-25%,-69%,+16%,-74%,-13%,+10%,+10%,13,-16%,D,-16%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,180 g,['Panealba'],"['Sachet plastique', 'Plastique']",['Prodotto in Italia'],,"[""E503ii - Carbonate acide d'ammonium""]",3,,,['Italie'],,['Gluten'],,,,,
991,Vassoio misto spicy california maki tonno maki,3760199050695,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,Mini falafel - Alnatura - 220g,4104420228313,['France'],[],[],?,228,954 kj(228 kcal),11,"1,3",19,"2,3","9,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220 g,['Alnatura'],,,,,,,,,,,,,,,
993,Coeur de fruits cuits au chaudron,3350031910951,['France'],[],[],?,207,866 kj(207 kcal),"0,6","0,1",50,50,"0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pot en verre'],,,,,,,,,,,,,,
994,Champignons de Paris,3256222115535,['France'],[],[],?,0,0 kj(0 kcal),"0,5","0,1","0,7","0,5","2,2","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,Filetti di tonno all'olio di oliva peperoncino,8004030654006,['France'],[],[],?,363,1519 kj(363 kcal),31,"4,8",0,0,21,"1,3","0,52",D,"['Produits de la mer', 'Poissons', 'Thons', 'Filets de poissons', 'Filets de thon', ""it:Filetti di tonno all'olio di Oliva""]",31 g,en quantité élevée,4.8 g,en quantité modérée,0 g,en faible quantité,1.3 g,en quantité modérée,,+57%,+63%,+133%,+124%,-100%,-100%,-14%,+31%,+31%,13,+195%,D,+195%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,,,,,,,,,,,
996,Tartinettes caramel -,3456300014211,['France'],[],[],?,441,1845 kj(441 kcal),15,"3,7",70,33,"5,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,
997,"Ayurveda Bio Ghee, 190 G",4260280120126,['France'],[],[],?,893,3736 kj(893 kcal),"99,1","72,8","0,2","0,2","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['DE SN-20632 EG'],,,,,,,,,,,,
998,Vegetable,8436000231182,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,Burro,8001750202012,['France'],[],[],?,756,3163 kj(756 kcal),83,56,"0,6","0,6","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,POM'POTES SSA Pomme - 48x 90g (4320g),3021766448162,['France'],"['Pomme 99,7%', 'purée et purée concentrée', 'arôme naturel de pomme', 'jus de citron concentré ', ""si nécessaire pour réguler l'acidité"", 'antioxydant : acide ascorbique', ' Sans gluten']",[],257,61,257 kj(61 kcal),"0,6","0,2",13,11,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48 x 90 g (4320 g),"[""Pom'potes""]",['Bouteille'],"['Aquaculture responsable', 'Sans gluten', 'Aquaculture responsable ASC', 'Nutriscore', 'Nutriscore A', 'Pêche durable', 'Pêche durable MSC', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT']",,['E300 - Acide ascorbique'],4,Spécialité de pomme sans sucres ajoutés (Contient des sucres naturellement présents),,,,,,,,,
1001,MATERNE Pomme Rhubarbe 4x100g Prix Choc - 400g,3021760290132,['France'],"['Pomme origine France 62,2 %', 'rhubarbe 30,5 %', 'sucre', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",292,69,292 kj(69 kcal),"0,5","0,1",15,14,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,"['MATERNE', 'Classique']",,"['Nutriscore', 'Nutriscore A']",,['E300 - Acide ascorbique'],,Compote pomme rhubarbe allégée en sucres (30% de sucres en moins qu'une compote classique),,,,,,,,,
1002,MATERNE SSA Pomme 4x100g Prix choc - 400g,3021760291771,['France'],"['Pomme origine France ', 'purée ', ' purée concentrée', ' 99,7 % ', ' arôme naturel de pomme ', ' jus de citron concentré ', ""si nécessaire pour réguler l'acidité"", ' ', ' antioxydant : acide ascorbique']",[],243,57,243 kj(57 kcal),"0,6","0,2",12,11,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,"['MATERNE', 'Sans sucres ajoutés']",,,,['E300 - Acide ascorbique'],4,Spécialité de pomme sans sucres ajoutés (contient des sucres naturellement présents),,,,,,,,,
1003,MATERNE SSA Pomme Banane Mangue 4x100g Prix Choc - 400g,3021760291818,['France'],"['Pomme origine France 74,9% ', ' banane 15,0% ', ' mangue 10,0% ', ' arôme naturel ', ' jus de citron concentré ', ""si nécessaire pour réguler l'acidité"", ' ', ' antioxydant : acide ascorbique']",[],262,62,262 kj(62 kcal),"0,5","0,2",13,12,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,"['MATERNE', 'Sans sucres ajoutés']",,,,['E300 - Acide ascorbique'],4,Spécialité de fruits avec arôme naturel sans sucres ajoutés (contient des sucres naturellement présents),,,,,,,,,
1004,Lustucru gnocchi a poeler roll - 300g,3240931546667,['France'],"['Purée ', 'eau', 'pommes de terre déshydratées', 'épice : curcuma', 'semoule de BLE dur', 'huile de colza', 'sel', 'farine de BLE', ' Peut contenir des traces de lait', 'œufs', 'et fruits à coque', 'Conditionné sous atmosphère protectrice']","['Sans huile de palme', 'Végétalien', 'Végétarien']",815,193,815 kj(193 kcal),"3,1","0,4",35,"2,1","5,2","1,1","0,44",A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchi de pommes de terre', 'Gnocchis cuits', 'Gnocchi à poêler']",3.1 g,en quantité modérée,0.4 g,en faible quantité,2.1 g,en faible quantité,1.1 g,en quantité modérée,,-5%,-4%,-24%,-70%,+5%,+19%,-12%,-17%,-17%,1,-83%,B,-83%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,300 g,"['Lustucru', 'Lustucru selection']",['Barquette'],"['Sans conservateurs', 'Nutriscore', 'Nutriscore B']",,,3,Gnocchi bâtonnets,,,,['Gluten'],,,,,
1005,Ravioli 4 fromages - Lustucru - 500g,3240931546636,['France'],"['Farce 50% ', 'FROMAGE FRAIS 11', '5%', 'RICOTTA 11%', 'EMMENTAL 5', '5%', 'pommes de terre déshydratées-épice : curcuma', 'semoule de BLE dur', 'eau', 'huile de colza', 'LACTOSERUM', 'GRANA PADANO AOP ', ""conservateur : lysozyme d'OEUFS"", ' 2%', 'sel', 'arômes naturels ', 'LAIT', 'persil', 'fibres de BLE et psyllium', 'Pâte 50% ', 'semoule de BLE dur', 'eau', 'OEUFS frais 3', '8%']","['Non végétalien', 'Non végétarien']",1104,262,1104 kj(262 kcal),"7,8","3,1",37,"4,5",10,"0,86","0,344",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Pâtes fraîches', 'Ravioli', 'Pâtes farcies au fromage', 'Pâtes fraîches au fromage']",7.8 g,en quantité modérée,3.1 g,en quantité modérée,4.5 g,en faible quantité,0.86 g,en quantité modérée,,+6%,+6%,+5%,-17%,+5%,+24%,+1%,-5%,-5%,2,-70%,B,-70%,72.9%,12.7%,5.5%,4.6%,2.4%,1.7%,66,500 g,"['Lustucru', 'Lustucru selection']",['Barquette'],"['Sans arômes artificiels', 'Nutriscore', 'Nutriscore B']","['FR 42.123.001 CE', 'Lorette (Loire, France)']",['E1105 - Lysozyme'],4,Pâtes fraîches farcies aux 4 fromages,,,,"['Œufs', 'Gluten', 'Lait']",,,,,
1006,Lustucru box serpentini poulet creme champignons - 340g,3240931546650,['France'],"['Eau', 'pâte alimentaire ', 'GLUTEN', ' 28', '9%', 'CREME légère UHT ', 'stabilisant : carraghénanes', ' 7', '9%', 'préparation de viande de poulet* rôti ', 'filet de poulet 6', '1%', 'eau', 'dextrose', 'amidon transformé de manioc', 'protéine de pois', 'sel', 'arômes naturels', ' 6', '4%', 'cèpes 4%', 'champignons de Paris 2%', 'huile de colza', 'échalote', 'amidon transformé', 'sel', 'cèpes déshydratés** 0', '3%', 'ail', 'arômes naturels ', 'LAIT', 'persil', 'épaississant : gomme xanthane', 'émulsifiant : lécithine de SOJA', 'conservateurs : sorbate de potassium-acétate de sodium', 'poivre', '\rPourcentages exprimés sur le produit total', "" Peut contenir des traces d'oeufs"", 'de poisson', 'crustacés et fruits à coque', ' Conditionné sous atmosphère protectrice', '\r*Viande de poulet origine : UE\r**boletus edulis', 'boletus aereus', 'boletus aestivalis', 'boletus pinicola']","['Non végétalien', 'Non végétarien']",636,151,636 kj(151 kcal),"4,1","1,4",22,"1,3","5,9","0,64","0,256",D,"['Plats préparés', 'Frais', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Plats préparés frais', 'Plats à la volaille', 'Pâtes instantanées', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes', 'Box']",4.1 g,en quantité modérée,1.4 g,en faible quantité,1.3 g,en faible quantité,0.64 g,en quantité modérée,+1%,0%,-0%,-34%,-48%,+28%,-23%,-2%,-12%,-12%,0,-100%,B,-100%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,340 g,"['Lustucru', 'Lustucru selection']",['Barquette'],"['Nutriscore', 'Nutriscore A', 'Nutriscore B']",,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E322i - Lécithine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,"Serpentini cuits agrémentés d'une sauce cuisinée à la crème légère, au poulet, cèpes et champignons de Paris.",,,,"['Gluten', 'Lait', 'Soja']",,,,,
1007,Pizza Chèvre,3273640020401,['France'],[],[],?,239,1000 kj(239 kcal),"9,8","5,5","29,3","4,7","7,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,
1008,Grissini senza lievito,8054529721290,['France'],[],[],?,420,1757 kj(420 kcal),9,"1,6",72,"4,3",10,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,300G Chocolune,3421557500893,['France'],[],[],?,375,1569 kj(375 kcal),"3,8","1,9",70,19,11,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
1010,Sirop de citron,3770008919846,['France'],[],[],?,0,0 kj(0 kcal),"0,1","0,1","68,1","68,1","0,4",0,0,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron']",,,,,,,,,,-100%,-100%,-19%,+187%,+30%,+38%,+215%,-100%,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,,,
1011,Creatine Monohydrate - MyProtein,5055534364888,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['MyProtein'],,,,,,,,,,,,,,,
1012,Oat & Tomato Pizza Premix - Prozis - 400g,5600961120530,"['France', 'Portugal']","['AVEIA Integral em Pó ', '76%', 'Tomate em Pó ', '11%', ' ', 'Tomate', 'Antiaglomerante ', 'Dió - xido de Silício', 'Clara de OVO em Pó', 'Creamer ', 'LEITE', 'Levedura', 'Sal']",['Non végétalien'],?,?,,9,,43,"2,9",21,"2,7","1,08",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales']",9 g,en quantité modérée,,,2.9 g,en faible quantité,2.7 g,en quantité élevée,,,,+417%,,-38%,+104%,+102%,+8752%,+8752%,,,,,,,,,,,,400g,['Prozis'],['Plástico'],,,,3,,,,,"['Œufs', 'Lait']",,,,,
1013,Chocolat papanoel,4013320117392,['France'],[],[],?,570,2385 kj(570 kcal),"36,7","23,1","51,5","50,7",6,"0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Tomato ketchup,0057000243753,['France'],[],[],?,133,556 kj(133 kcal),0,0,33,27,2,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Sauca chili piquante,8850206125128,['France'],[],[],?,554,2318 kj(554 kcal),"0,5","0,1","31,4","30,2","0,5","5,12","2,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Le pastine filini all'uovo,8014207001045,['France'],[],[],?,376,1573 kj(376 kcal),5,"1,8","64,2","3,7","15,2","0,327","0,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Sirop de mûre,3376370157277,['France'],[],[],?,333,1393 kj(333 kcal),0,0,83,65,0,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bouteille en verre'],,,,,,,,,,,,,,
1018,27023778,27023778,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Clocher,3586080039514,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,Genki ramune,4589862270937,['France'],[],[],?,37,155 kj(37 kcal),0,0,"9,3","9,3",0,"4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Emmental,6541686841630,['France'],[],[],?,1500,6276 kj(1500 kcal),28,19,0,0,24,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Knoblauch Sauce,8715700422671,['France'],[],[],?,365,1527 kj(365 kcal),28,2,11,"8,5","1,5","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,8019010342842,8019010342842,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Juste pressé smoothie,3770006565472,['France'],[],[],?,51,213 kj(51 kcal),"0,1",0,"11,5","10,1","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Gorbuscha Kaviar,4260051078052,['France'],[],[],?,217,908 kj(217 kcal),11,"1,6","3,2","0,5",27,"2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,Croquettes,3182550848442,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Caviar,5701087221009,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,rescue plus,5000488300659,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Saucisse de morteau label rouge,2295153038187,['France'],[],[],?,265,1109 kj(265 kcal),"20,5",9,"0,3","0,3","20,4","2,56","1,024",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau']",20.5 g,en quantité élevée,9 g,en quantité élevée,0.3 g,en faible quantité,2.56 g,en quantité élevée,,-16%,-17%,-25%,-15%,-46%,-22%,+21%,+15%,+15%,21,-4%,E,-4%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,,,,,"['FR 25.357.050 CE', 'Maisons-du-Bois-Lièvremont (Doubs, France)']",,,,,,,,,,,,
1030,PATTE D'OURS CACAO X2 - Super U - 1,,['France'],"['Farine de BLÉ', ' beurre fin', 'LAIT', '17%', ' sucre', 'eau', 'graisses vegetales non hydrogenees', 'palme', 'colza', 'NOISETTES 4%', ' levure', ' DEUFS', 'cacao maigre en poudre 2%', ' Iactose', 'LAIT', ' sel', 'gluten de BLÉ', ' emulsifiant', ' lecithine de SOJA', ' agents de traitement de la farine', ' acide ascorbique', ' Peut contenir: autres FRUITS A COQUE', ' graines de sesawes', ' Dorure:OEUF', ' Pour 100g de produit cuit: Energie: 1866KJ / 447 kcal: Matière grasses: 23g dont acides gras saturés: 12g: Glucides 42g dont sucres: 19g Fibres alimentaires: 2', '8g: Protéines: 7', '3g: Sel: 0', '84g']",['Non végétalien'],?,?,,23,,42,19,"7,3","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,['Super U'],['Plastique'],,,"['E322i - Lécithine', 'E300 - Acide ascorbique']",4,,,,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",,['Super U'],['Huile de palme'],,
1031,"Préparation pour sandwich Maquereaux, cœurs d’artichauts et carottes - La belle-iloise - 115g",3660088145924,['France'],"['Filets de maquereaux ', '51%', 'eau', ""cœurs d'artichauts "", '10%', 'huile de colza', 'carottes ', '7%', ""jaune d'œuf salé "", 'jaune d’œuf', 'sel', 'fécule de manioc', 'levure', 'huile fumée', 'champignons noirs', 'épices']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",846,204,846 kj(204 kcal),16,"2,5",2,0,12,"0,99","0,396",,"['Conserves', 'Produits de la mer', 'Poissons', 'Plats préparés', 'Poissons en conserve', 'Plats préparés au poisson', 'Maquereaux', 'Plats préparés en conserve', 'Maquereaux en conserve']",16 g,en quantité modérée,2.5 g,en quantité modérée,0 g,en faible quantité,0.99 g,en quantité modérée,+0%,0%,+0%,+7%,-23%,+45%,-100%,-18%,-0%,-0%,3,-27%,C,-27%,,,,,,,,115 g,['La belle-iloise'],['Conserve'],,"['FR 56.186.004 CE', 'Quiberon (Morbihan, France)']",,3,"Préparation à base de maquereaux, cœurs d’artichauts et carottes",,"['Quiberon', 'France']",https://www.labelleiloise.fr/fr/salades-sandwich-012,"['Œufs', 'Poisson']",,['La belle-iloise'],,,
1032,ALL-IN-ONE naturally stron,3662072025571,['France'],[],[],?,50,209 kj(50 kcal),"5,9",1,"18,7","2,7",0,"1,89","0,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Finocchi a fette surgelati,8003495103326,['France'],[],[],?,15,63 kj(15 kcal),0,0,"2,4","1,7","0,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,"Boudin blanc au porto Anne de Bretagne, 2 pieces",3300410002012,['France'],[],[],?,295,1234 kj(295 kcal),27,10,"3,6","2,6",11,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Früchte Punsch,4003240524004,['France'],[],[],?,47,197 kj(47 kcal),"0,5","0,1","10,8","10,4","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,"Mini jesus (sans nitrite, ni colorant",3303820299904,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Handgelegter Kochschinken,4061458075671,['France'],[],[],?,153,640 kj(153 kcal),8,3,1,1,19,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Bon Cabe Level 10,8995899250310,['France'],[],[],?,400,1674 kj(400 kcal),0,0,40,0,0,"6,8","2,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Cafe en grains,3526461100518,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Friandises fourrées,3256225436187,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
